stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,375.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.59,164.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,7.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,3.95,0,0,0,0,0
 24-34,0,0,0.66,3.43,0,1.31,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,23.83,0,0.74,0,1.41,0,12.57,0,0,0,0,0
 36-46,0,0,0,0,0,3.55,0,0,0,0,0.79,0,0,0,0,0,0.86,0,0,0,54.54,0,0,0,3.91,0,12.53,0,0,1.44,0,0
 48-58,0,0,0,0,0,24.94,0,0.38,0,0,0.82,0,0.5,0,0,1.49,4.63,0,0,0,53.95,0,0,4.4,6.87,0,11.77,0,0,0.66,0,8.69
 60-70,0,0,0,0,0,42.79,3.2,0,1.55,0,0,0,0,0,0.66,0,5.42,0,0,0,73.32,1.73,0,0,6.16,0,10.8,0,0,0,0,0
 72-82,0,0,0,1.16,0,39.97,0,0,3.27,0.64,0,0.61,0,0,0.63,0,7.85,0,0,1.15,59.33,0,1.31,0,1.37,1.23,0.88,0,0,0.76,0,0
 84-94,0,0,0,1.79,0,26.08,0,0.61,3.69,1.62,0,0,0,0,3.06,0,13.63,1.39,0.95,0,25.56,0,0,0,7.2,0,5.69,0.55,2.16,0,0,0
 96-106,0,0,0,3.23,5.52,17.17,0,0,6.84,1.71,0,0.73,2.85,2.23,0,0,7.77,0,1.24,1.8,15.52,0.81,0,0,4.79,0,0,0,0,0.58,0.58,0
108-118,0,0,0.71,11.2,0,26.26,0,0,3.35,0.47,0,2.71,0.65,0,0,0,5.46,0,0,0,51.15,0,0,0,5.05,0,0,0,1.06,1.8,0,0
120,0,0,0,8.89,0,16.61,0,0,2.18,0,0,2.66,0,0,0,0,0,0,0,0,37.3,0,0,0,4.69,0,1.7,0,0,2.95,0,4.74
