stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,107.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.59,0,0,0,11.64,0,0,0,0,0,0,0
 10-12,0,16.12,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,57.42,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0.94,0,1.99,0,0,0,0,0,0,0,0,5,0,0,9.47,0,0,0,1.02,0,0,4.68,0,0,0,0
 24-34,0,0,2.13,0,0,27.58,0,0.62,0,0,0,0,0,0,0.67,0,1.36,19.39,0,2.16,0.73,0,0,2.41,31.79,0,0,0,0
 36-46,0,0,0,0,0,53.31,0,0,0,0.73,0,1.01,2.16,0,12.47,0,1.81,19.86,0,3.69,15.69,0,0,0,22.42,0,0,0.87,0
 48-58,0,0,3.58,0.46,0,117.92,0,0.82,0,1.38,0,0,0.85,0,0.42,0,0.86,14.13,0,0,4.7,0,0,0,3.27,0,0,0,0
 60-70,0,0,0,0,0,583.51,0,0,1.35,0.92,0,6.25,0,0,11.89,0,1.36,27.18,0,1.82,5.68,0,0,1.92,6.69,0,1.19,0,0
 72-82,0,0,0.52,0,0,471.01,0,6.12,0,7.01,1.83,0,1.2,2.9,11.49,0,0,36.76,0,0,17.28,0,0,1.96,2.95,0.87,0,0,0
 84-94,0,0,1.82,0,0,600.34,0,0,0,4.98,1.71,0,1.48,0,8.53,4.37,0.6,23.03,0,0,12.81,0,0,4.36,2.11,0,0,4.15,5.12
 96-106,0,0,0.59,35.41,0,467.08,0,0,0,6.59,0,0,3.88,0,38.26,8.7,2.91,18.82,2.22,3.65,17.92,0,1.57,5.11,0,0,1.15,0,0
108-118,0,0,2.1,1.92,0.82,432.36,0.46,0.46,0,18.19,0,0,2.76,0,14.93,0,0.94,57.37,0,0.47,16.99,0,0,3.23,0,0,0.6,1.47,0
120,0,0,5.18,24.55,0,480.88,0,0,0,27.21,0,0,0,0,21.67,2.35,0,95.61,0,8.23,27.94,0,0,4.78,10.36,0,0,0,0
