stage,epidermis,eye,glial,gut,immune,mesenchyme,neural,olfactory,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,4.94,0,1.73,0,2.09,1.5,0
 24-34,0,0,0,0,0,0,9.51,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.36,0,0,0,0,0,0
 48-58,0,0.58,0,0,0,0,1.29,0,0,0,0,0,0
 72-82,0,0,0,0.73,0,0,0,0,0,0,0,0,0.54
 84-94,0,0,0,0,0,0,0,0,0,0.76,0,0,0
 96-106,0,0,0,0,12.27,0.85,1.14,1.59,0,0,0,0,0
108-118,0.82,0,0,0.91,0,0.79,0,1.1,0,0,0,0,0.54
120,0,0,5.08,0,4.53,0,0,0,0,0,0,0,0
