stage,blastomeres,epidermis,erythrocytes,eye,glial,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0
 14-21,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,18.86,0,0,9.45,0.63,0,0,0,0
 36-46,0,0,0,0,0,0,30.82,0,0,1.32,0,0,0,0.81,0
 48-58,0,0,0,0.73,0,0,48.79,0,0,11.45,0,0,0.4,0,0
 60-70,0,0,17.52,0,0.79,0,1.71,5.05,0,17.43,0,0,0,0,0
 72-82,0,0,1.24,0,1.11,0,16.42,17.23,0,24.03,0,0,0.97,0,0
 84-94,0,0,3.58,14.84,0,0,1.52,26.01,0,6.84,0,0,0,0,0
 96-106,0,0,0,12.23,1.1,0,7.56,40.77,1.32,4.87,0,0,1.86,0,0
108-118,0,1.18,0,0.62,0,0,1.85,81.1,0,14.63,0,0,0,0,1.59
120,0,0,0,5.8,0,197.63,2.89,57.44,0,8.23,0,0,0,0,0
