stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,0,0,0,12.3,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,3.96,34.6,0,0,0,0,0,0.83,1.01,1.03,2.39,32.13,0,0,0,0,0
 24-34,0,0.8,0,4.26,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,771.14,0,7.35,0,0,0,2.34,0,0,0.62,283,0,0,6.14,0,0
 36-46,0,0,0,1.51,0,0,16.54,0,10.6,0,10.89,0,0,0,0,0,0,0,0,8.43,1.01,0,0.62,1798.64,0,5.58,0,0,0,0,0,0,0,480.68,0,0,0,0,0
 48-58,0,0,0,13.54,0,0,103.84,0,5.45,0,29.08,0,0,0,1.22,0,10.22,0,0,10.64,0,0.55,2.31,3365,0,3.43,0,0,0,0,0,0,0,520.75,0,0,0,0,10.02
 60-70,0,0,0.68,12.58,0,0,476.72,0,0,0.87,63.79,0,0,0,0,0,0,1.96,13.61,23.98,0,0,13.84,5149.89,7.37,6.97,0,0,0,7.34,0,0,0,778.96,0,0,0.87,0,8.41
 72-82,0,0,0,13.15,13.21,0,910.21,0.96,5.46,0.61,108.14,0,0,0,0,0,0,1.9,0,33.69,0,0,3.61,4657.87,0,0.79,0,0,1.4,0.61,0,0,0,579.92,1.01,0.63,2.48,1.84,8.74
 84-94,0,0,0,32.32,0,0,687.11,0.68,0.74,10.6,89.01,0,0,1.72,4.78,1.6,1.32,0,0,21.14,0,0,1.36,2842.43,0,5.46,0,0,2.48,1.11,0,0.64,0,458.13,0,0.6,1.76,0,0.88
 96-106,0,1.1,0,10.19,13.46,0,703.98,0,1.88,0.72,102.85,1.91,0,0,6.49,0,1.5,0,2.14,21.75,1.22,1.76,10.43,2387.29,0,12.71,2.81,0,0,11.73,0,0,0,188.79,0,0,0,0,9.97
108-118,0,0.71,0,30.91,1.65,5.1,883.58,0,0.94,0.8,104.5,6.43,0,0,5.68,0,1.31,0,0.45,22.79,0,0,3.82,2626.41,0,1.61,0,0,0,2.9,0,0,0,139.54,0.71,0,6.19,0,0
120,0,0,0,49.64,5.88,0,787.52,2.14,10.7,0,205.44,11.79,0,0,6.22,0,0,0,0,90.59,0,2.75,2.81,4474.12,0,8.48,0,0,0,5.27,0,1.63,0,157.99,0,0,11.17,15.31,0
