stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,30.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,8.54,0,0,0,0
 10-12,0,0,5.59,0,0,3.98,0,0,0,0,0,0,14.59,5.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,0,0.86,0,0.83,9.45,0,0,0,0,1.85,3.49,0.9,0
 24-34,0,0,0,0,0,0,0,0,0,0.69,0,0,17.5,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.34,0,0,0,3.59,0,1.66,29.46,0,0.62,0,0,0,0,3.12,0
 48-58,0,0,0,0,0,3.3,0,0.58,0,0.41,0.52,0.41,8.82,0,0,0,0,0,0,2.43,0
 60-70,0,0,0,0,0,3.63,0,0,0,0.72,9.41,0,8.95,0,0,0,0,0,0,1.64,0
 72-82,0,0,0,0,0,6.54,0.62,0,0,1.58,0,0,3.89,0,0,1.03,0,0,0,0,1.2
 84-94,0,0,0,0.62,0,0,0,0,0,2.78,0,0,0,0,0,2.07,0,0,0,1.45,0
 96-106,0,0,0,0,6.16,0,0,0,0,2.25,0,0,4.49,0,0,0,0,0,0,0,0
108-118,0,3.86,0,0,0,0,0,0,0.99,1.68,0.46,0,3.32,0,0,0,0,0,0,0,0
120,0,0,0,0,29.99,0,0,0,0,0,0,0,12.69,0,0,0,0,0,0,0,0
