stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros
  3-4,0,73.11,0,0,0,0,0,22.18,0
  5-6,15.7,71.91,0,0,0,0,0,0,0
  7-9,11.02,6.61,27.68,5.02,69.61,16.12,212.98,0,0
 10-12,0,0,22.58,0,37.63,38,325.73,0,29.7
