stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.05,340.75,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0
  5-6,0,135.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,17.47,0,8.84,0,0,0,0,0,0,0,18.97,3.56,3.47,0,0,0,0,0
 10-12,0,11.01,0,0,0,0,0,0,0,0,0,0,5.01,0,19.5,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,4.69,0,0,0,0,0,2.31,2.18,1.03,0
 24-34,0,0,0,0,0.6,0,0,0,0,0,0,0,2.26,0,0,0.69,0,0,1.83,0
 36-46,0,0,0,1.05,0,0,0.98,0,0,0,0,0,0,0,0,3.25,0,0,0,0
 48-58,0,0,0,0,0,0.65,0,0,0,0,0,0.93,1.73,0,0,0,0,0,1.6,0
 60-70,0,0,0,0,0.88,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,2.11,0.66,0,0,0,0,0,0,0,0.81
 84-94,0,0,0,0,1.34,0,0,0,0.6,0,1.82,0,0.63,0,0,0.84,0,0,0,0
108-118,0,0,0,0,0,0,0,0.6,0,0.5,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0
