stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,2.44,1.02,0.81,0,1.28,0,0,1.45,0,0,0,0,0,0,0,27.47,0,0,0,1.9,0,0.84,5.23,0,0,0,0
 24-34,0,0.65,0,13.98,0,3.09,1.01,1.41,0,0,0,0,3.59,0,0,1.64,40.72,0,0,2.66,0,0,1.02,7.27,0,0,3.16,0
 36-46,0,0,0,20.87,0,1.47,0,0,0,0,0,0.8,3.67,0,0,0,57.7,0,0,2.36,0,0,0,14.05,0,0,2.21,0
 48-58,0,2.2,0,60.59,0,6.8,0,0,0.55,0,0,0,2.64,0,0,0,76.07,0,0,6.82,0,0,0,13.36,0,0,5.14,0
 60-70,0,0.8,0,84.59,0,2.23,0,0,0,0,0,0,11.07,0,1.67,0,59.77,0,0,8.74,0,0,0,13.14,0,0,0,0
 72-82,1.32,0.87,0,128.66,0.68,5.94,0,0,0,0,0,0,6,0,0,0,67.21,1.91,0,0,0,0,0,1.07,0,0.49,0,0.62
 84-94,0,0,0,106.71,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,4.73,0,0,0,6.69,0,0,0,0
 96-106,0,0,0,104.42,0,4.44,0,0,0,0.62,1.04,0,2.88,10.6,0,2.34,63.09,0,0.85,0.97,0,4.11,0,0,1.14,0,0.68,0
108-118,0,0.85,0,97.68,0,2.4,0,0,0,0,0,0,4.85,0,0,0,44.25,0,0.48,1.36,0,0,0,2.91,0,0,0,0.63
120,0,3.18,0,53.45,0,8.36,0,0,0,0,0,0,0,0,0,0,69.89,0,0,2.88,0,0,0,2.1,0,0,5.97,0
