stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,7.17,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0
  7-9,0,0,0,7.68,0,0,0,0,0,21.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,1.12,0,1.03,0.93,0,0,0,1.07,1.06,0.99
 24-34,0,0.84,2.13,0,0,0,1.32,0,0,6.6,0,1.4,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0
 60-70,0,0,0,9.54,0,0,0.74,4.68,0,1.02,0,1.33,0,0,0,0
 96-106,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.67,0,3.58,0,0,0,0,1.55,0.51,0,0,0,0,0
