stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,iridophores,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros
  3-4,68.53,553.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.97,1042.34,0,0,0,0,0,0,0,0,49.72,0,0,8.94,25.27,0,0
  7-9,13.79,42.38,61.14,0,0,73.21,0,41.14,0,0,712.34,39.25,0,218.32,0,0,0
 10-12,0,7.73,41.1,0,18.69,65.06,0,15.45,0,0,594.65,18.59,0,281.86,0,3.96,27.97
 24-34,0,0,0,0,0,0,0,0,0,0.69,3.21,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.31,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.77,0,0,0,1.31,0.92,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.19,0,0,4.57,1.24,22.46,0,0,0,0,0,0
 72-82,0,0,0,1.65,0,0,0,0,0,0,7.63,0,0.7,0,0,0,0
 84-94,0,0,0,2.05,0,2,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.49,0.68,0,0,0,3.05,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0
