stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.07,0,0,31.39,0,0,0,13.28,0,0,0,0,0,0
 10-12,0,0,9.58,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.34,0,0,20.38,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.89,0,1.09,0,0,0,1.21,0,0,0,0,0,0,0.91,0.83,0,0,6.13,46.26,0,0,0.87,0,3.28,3.88,0,1.13,10.52,0,0,0,0
 24-34,0,0,1.2,1.6,0,4.55,0,0.71,0,0,0,0,0,2.24,0.68,0,0,6.31,0,0,0.88,57.87,1.33,1.06,0,0,3.63,0,0,1.2,24.29,0,2.65,0,0
 36-46,0,0,0,5.23,0,13.82,0,0,0,8.08,0,0,0,0,1.61,0,0,16.03,0.68,0,2.45,105.47,0,2.11,0,0,9.07,0,0,0,24.54,0,0,0,0
 48-58,0,0,0,0,0,49.7,0.37,0,1.28,7.91,0,0,0.56,0,0,0,0,19.35,1.91,0,2.48,110.51,3.19,0,0,0,4.87,0,0.52,0,23.67,0,0.61,0,0
 60-70,0,1.1,0,4.65,0,66.68,0,0,0,8.18,0,0,0,0,0,0,0,8.51,0.9,1.84,1.28,104.25,0,0,0,0,4.68,0,0,0,0,0,2.12,0,0
 72-82,0,0,0,0.65,3.77,65.65,0,0.62,0,8.38,0,1.95,0,0,0,0,0,16.61,0,0,0.71,91.54,1.23,0,0,0.71,3,0,0,0,6.69,0.87,2.81,0,0
 84-94,0,2.22,0,3.22,4.06,40.11,0,0.62,2.46,6.53,2.12,0,0,0,0.9,6.31,0,8.64,0,0,2.27,81.13,0,1.18,0,0,10.52,0,0,0,1.11,0.71,0,0,0
 96-106,0,1.14,0,1.31,7.92,26.73,0,0,0,9.46,0.83,0,0.79,0,0,0,0.68,9.55,0,1.68,0.73,47.64,0,4.18,0,3.31,10.51,0,0,0,0,0,0.71,1.5,6.4
108-118,0,1.03,0,2.92,0.41,36.26,0,1.7,0,1.44,0,0,0,0.47,0.61,0,0,10.29,0,4.04,0,46.74,0,0,0,0,8.91,0,0,0,0,0,0,3.85,2.66
120,0,0,0,2.35,4.13,6.51,0,4.41,0,4.83,1.73,0,0,0,0,0,0,0,0,0,0,80.04,6.75,0,0,4.59,22.11,0,0,0,4.39,0,6.03,0,0
