stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,ionocyte,liver,neural,notochord,paraxial.mesoderm,vascular.smooth.muscle,xanthophores
  5-6,17.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.4,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.46,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.14,1.5,0,0
 24-34,0,0,0,0,0,0,0,0,1.03,0,0,0,2
 36-46,0,0,0,0,0,0,0,0,1.71,0,0,0,0
 48-58,0,0,0,0.71,0,0,0,0,1.69,0,0,0,0
 60-70,0,0,0,1.81,1.29,0,0,0,0,0,0,1.77,0
 72-82,0,0,1.2,0,0,0.59,0,0,0,0,0,0,0
 84-94,0,3.52,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.98,0,0,0.48,0.49,0,0,0,0,0.75
120,0,0,0,1.39,0,0,0,0,0,0,0,0,0
