stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,37.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,22.37,0,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,2.23,0,0,1.05,0,0,0,0,0,0,0
 24-34,0,0,2.2,0,0,1.57,139.78,0,0,0,0.92,0,0.6,0,0.99,0,0,0,0,1.08,0,0,26.56,77.87,0,0,0,0,0,15.8,0,0,1.89,16,0.81,0,0,0,0,0.89
 36-46,0,0,2.39,0,0,17.37,812.08,5.86,0.8,1.7,0,0,0,0,0.68,0,0,0,0,7.83,0,0,75.88,139.84,17.19,1.55,0,0,0,12.99,0,0,9.07,10.43,12.25,0,0,0.63,0,7.17
 48-58,0,0,23.03,0.45,0,151,1319.72,0.66,1.39,36.23,0,0,0,0.48,0,0,0,1.49,10.66,35.71,0,0,135.38,384.2,5.23,2.68,3.42,0,0,15.42,0,0,1.97,0,61.61,0,0,10.51,0,27.44
 60-70,0,0,64.1,3.23,0,199.31,1377.27,11.41,1.86,21.94,0,0,0,0,4.25,10.12,0,0,0,65.61,0,9.54,201.32,397.7,5.04,1.62,10.23,0,0,8.6,0,0,3.6,0,39.21,0.81,2.82,3.33,0,10.77
 72-82,0,1.04,8.19,11.7,0,225.32,1022.35,4.73,14.56,63.48,0,0.5,1.68,5.72,0.83,0,0,5.25,0,73.47,1.01,1.23,180.68,271.52,4.93,4.8,0,0,0,24.98,0,0,4.56,0,38.76,0,6.2,21.82,3.19,29.32
 84-94,0,1.11,13.95,47.68,0,225.24,1635.22,6.35,2.92,22.92,5.27,0,0,8.1,0.86,4.06,6.72,14.65,4.17,45.17,4.15,9.65,224.75,261.72,4.08,1.16,1.61,0,0,31.67,0,0,0,0,20.15,0,4.03,13.8,1.01,8.04
 96-106,0,2.86,40.37,191.27,0.62,485.89,3471.85,15.49,13.74,100.12,9.68,0,4.41,10.7,4.35,14.53,2.88,75.02,14.81,240.72,14.39,1.37,261.37,655.36,0.62,15.97,14.05,1.2,4.18,95.47,1.35,0,0,0,14.19,3.84,8.45,35.13,9.07,79.55
108-118,0,7.38,41.33,64.4,5.08,541.35,3768.38,9.56,9.02,114.09,8.16,0,1.71,7.66,4.13,7.87,0.43,34.77,6.97,185.59,13.23,0,461.09,650.53,1.15,8.08,13.58,0,7.16,111.06,0,3.86,1.89,0,43.31,3.6,9.3,22.09,12.6,41.87
120,0,8.73,48.97,51.67,3.13,178.88,3380.87,11.34,27.9,138.44,23.98,0,0,44.42,0,2.22,0,24.96,0,294.67,12.14,6.16,540.44,821.22,2.89,16.89,7.94,0,0,48.97,0,0,2.94,0,4.24,0,0,54.38,29.21,0
