stage,epidermis,eye,fast.muscle,gut,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0
 24-34,0,0,0.72,0,0.59,0.75,0,0,2.87,0,0,0,0,0,0.6,0
 36-46,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0
 48-58,0.41,0,0,0,0,0.43,0,0,0.63,0,0.42,0,0,0,0,0
 60-70,0,0,1.29,0,0,0,0,0,0,0,0,0.81,2.55,0.6,0,0
 72-82,0,0,1.15,0,0,2.86,0,0,0,0,0,0,0,0,0,0.52
 84-94,0.59,0,1.17,0,0,1.98,0,0,0,1.1,0,0,0,0,0,0
 96-106,0,0,1.57,0,0,0,0,0,6.98,0,0,0,0,0,0,0
108-118,0,0.73,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.39,1.19,0,0,1.47,2.24,0,0,0,0,0,0,0,0
