stage,epidermis,eye,glial,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0,0,0,0,4.53,0,1.9
 24-34,0,5.19,0,0,0,4.06,0,1.88,55.29,0.66,6.53
 36-46,0,30.58,2.66,0,0,2.74,0,0,40.05,0,4.2
 48-58,0,17.44,0,2.75,0,2.15,0.66,0,21.1,0,0.52
 60-70,0,10.49,1.57,0,1.12,1.37,0,0,7.21,0,0
 72-82,0,5.21,2.36,0,0,1.14,0,1.31,2.44,0,0
 84-94,0.64,3.26,2,0,0,2.39,0,0,0,0,0
 96-106,1.04,4.49,0,0,0,1.25,0,0,3.68,0,0
108-118,0,4.05,0,0,0,0,0,0,1.01,0,0
120,0,4.94,0,0,0,3.72,0,0,12.68,0,0
