stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69,0,0,0,4.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.87,11.88,0,0,0,0,4.3,0.86,0,2.73,7.07,0,0,0,0
 24-34,0,0.66,0,0.83,2.52,0,1.53,0,0,0,0,0,0,0,0,0,3.97,0,1.01,76.29,0,1.05,1.36,0,8.87,0,0,1.27,14.84,0,1.28,0,0
 36-46,0,0,0,2.33,13.38,0,0,0,5.12,0,0,0,0,0,1.15,0,1.32,0.55,2.94,114.9,0,2.04,0,0,2.56,0,0,0,19.9,0,0.65,0,0
 48-58,0,0,0,8.28,32.13,0,0,0,14.02,0,0,0.42,0,0,0,0,5.17,0.95,0,138.21,0,0,0.4,0,7.76,0,0,0,18.79,0,0.96,0,0
 60-70,0,0,0,0,48.31,2.58,0,1.13,3.65,0,0,0,0,0,0,0,3.82,0,0,155.96,0,0,0,0,6.85,0,0,0,22.88,0.67,1.52,0,0
 72-82,0,0,0,0.65,46.51,0,0,0,6.76,0,0,0,0,0,0,0,13.43,0,0.55,139.21,0.58,1.09,3.76,0,2.11,0,0,0,18.84,0,0,3,0
 84-94,0,0,0,0,55.81,0,0,0,2.4,2.58,0,0,0.6,0,0,0.58,5.69,0,0.56,117.44,1.46,0,0,0,13.32,0,0,0,9.02,0,1.52,0,0
 96-106,0,0,0,8.09,41.75,0,0,1.07,1.36,0,0,0.61,0.59,0,0,0,5.78,0,0,58.8,0.62,2.74,11.02,0,9.69,0,0,0,7.59,0,2.43,0,0
108-118,0,0,0,2.03,55.87,0,0,0,6.3,0,0.69,2.71,0,1.64,0,0,15.97,0,0.96,124.24,0,0,7.6,0,4.81,0,0.56,0,9.58,0,1.56,3.76,5.82
120,0,0,0,5.39,23.23,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,64.25,0,0,0,0,0,0,0,0,2.5,0,0,0,0
