stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,melanocytes,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.45,0,5.76,0,0,0,0,0,0,0
 14-21,6.89,0,1.01,0,0,0,0,0,0,1.69,0,11.46,0,0,0,0,0,5.78,0,0,0
 24-34,0.79,0,0,4.22,3.43,0,1.37,0,0,0,0,0.67,0,0,0,0,0,0,0,3.72,0
 36-46,0,0,0,7.14,6.54,0,6.74,0,0,0,0,3.71,8.62,0,0,0,0,17.91,0,3.27,0
 48-58,0,0,0,0,0.59,0,9.29,0,0,0,0,2.57,0,0,0,0,0,2.35,0,0,0
 60-70,0,0,2.8,4.22,7.85,0,0.92,0,0,21.97,2.75,1.97,4.24,0,1.92,1.5,0,0,0,0,1.25
 72-82,0.61,0,0.66,0,2.63,1.17,0,0,0,4.62,0,1.27,0,0,0,0,0,0,2.24,0,0
 84-94,0,0,0.66,1.24,1.04,1.52,5.67,0,0,6.84,0,0,0,0,0,0,0,0,0,7.59,0
 96-106,0,0,5.44,2.73,5.22,2.2,38.74,2.23,0,46.98,0.85,2.5,0,0,0,0,0,1.93,1.23,0,1.92
108-118,4.01,0.57,0,1.53,1.11,0,2.49,0,0.47,19.02,0,1.56,0,0,3.22,0,1.05,4.69,0,0,0
120,0,0,0,0,0,1.26,1.17,0,0,28.19,0,0,0,0,0,0,0,8.93,0,0,0
