stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,20.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,17.81,0,7.77,0,0,0,0,0,0
 14-21,0,0,0.86,2.62,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,2.3,154.72,0.97,0,0,0.82,0,0,0,2.51,0,7.82,0.85,93.49,0,0,0,0,0
 24-34,0,0,0,4.22,0,0,18.16,0,0,0,3.72,0,8.64,0,2.27,0,0,0.84,0,6.88,0,3.03,1424.79,5.55,0.91,2.56,0,0,2.84,0,0,0.6,0.66,1.18,260.48,0,0,0.66,0,0
 36-46,0,0,0,0,0,0,33.56,2.6,1.19,0,5.54,0,8.42,0,0,0,0,0,3.1,17.21,0,2.42,3872.14,7.48,1.42,0.78,0,0,3.84,0,0,0,2.35,0,739.93,0,0,2.4,0,0
 48-58,0,0,0,13.14,0.92,0,133.09,0.58,13.68,1.8,29.35,1.09,1.14,0,0,0,0.65,0,3.73,78.95,1.51,5.88,3152.3,22.72,0.54,0.66,0,0,1.65,0,0,0,0,0,761.84,0,0,2.1,1.4,2.17
 60-70,0,0,0,0.71,0,0,142.31,2.52,1.25,5.87,25.78,0.62,15.62,0,0,4.51,0,0,0,203.81,11.67,1.35,1133.3,8.04,0,1.74,0,0,0,0,0,0,1.84,0,228.21,0,1.51,0,2.1,3.58
 72-82,0,0,0,2.45,10.99,0,156.08,12.67,2.77,2.4,13.81,0,6.23,0,0,0.64,0.69,0,0,430.38,17.69,7.84,492.84,22.79,0,3.35,0,0,0,0,0,0,0,0,60.41,0,4.56,1.72,24.49,1.05
 84-94,0.62,0,0,3.95,0,0,147.87,42.83,3.54,4.24,12.94,0,7.17,0,0.71,2.83,0,0,2.78,342.84,7.99,5.48,391.04,24.58,0,1.09,0,1.75,2.42,0,0,0,0,0,20.41,1.67,2.12,0.58,13.12,4.6
 96-106,0,0,0,15.1,6.12,0.92,97.13,64.66,0,6.51,4.94,0,3.52,1.56,0,6.49,5.55,0.76,0,321.76,5.08,21.77,296.39,43.36,4.14,0.79,0,1.62,11.34,0,0,0.62,0,0,8.68,0,3.93,0,26.43,0
108-118,0,0,0,13.62,0.89,0,139.8,56.49,0.61,1.96,16.54,1.11,6.83,0,0,6.55,0,1.84,0,232.86,21.06,18.47,415.79,55.08,1.4,0,0,3.24,1.61,0,0,0.69,0,0,8.16,0.47,5.97,0,29.26,0
120,0,0,0,4.76,0,0,158.09,125.63,36.38,2.41,13.7,2.52,2.29,0,0,0,0,1.5,0,346.51,36.69,17.24,419.49,130.36,0,0,0,8.01,0,0,0,1.13,0,0,0,0,2.68,0,41.03,0
