stage,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,3.45,0,0.87,0,0,0
 24-34,1.59,0,0,0,0,0,7.44,1.54,0,0.6,0,0
 36-46,1.44,0,0,0,2.44,0,1.98,0,0,0,0,0
 48-58,2.01,0,0,0.37,0.49,0.49,1.45,0,0,0,0,2.03
 60-70,3.29,1.59,0,0,0.57,0,4.28,0,0,0,0,0
 72-82,2.11,0.94,0.72,0,0,0,9.28,0,0,0,0.51,0
 84-94,0.76,1.68,0,0,0,0,1.49,0,0,0,0,0
 96-106,0.58,0,0,0,0,0.62,3.05,0,0,0,0,0
108-118,0,0,0,0,0,0,2.77,0,0,0,0,0
120,0,0,0,0,3.09,0,0,0,0,0,0,0
