stage,endoderm,erythrocytes,eye,mesenchyme,muscle,neural,olfactory,somites,spinal_cord,vasculature
 14-21,0.89,0,0,0,0,0.89,0,0.85,0,0
 24-34,0,0,1.42,0,0,7.93,0,0,1.62,0
 36-46,0,0,0,0,0.77,4.45,0,0,1.46,0
 48-58,0,0,0,4.56,0,17.95,0,0,1.18,0
 60-70,0,0,8.75,0,0,1.14,0,0,0,0
 72-82,0,1.43,0.83,0,0,9.6,0,0,0,0
 84-94,0,0,12.24,0,0,7.58,0.86,0,0,2.12
 96-106,0,0,9.38,0,0,5.44,0,0,0,0
108-118,0,5.51,1.81,1.94,0,5.54,2.63,0,0,0
120,0,0,0,0,0,8.86,0,0,0,0
