stage,blastomeres,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.93,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0
 14-21,0,1.71,0,0,0,0,0,0,0,0,1.25,0,0,5.52,0.96,0
 24-34,0,0,0,0,0,0,0,0,0.86,0,2.61,0,0,0,0,1.77
 36-46,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,1.47
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,5.97,0,4.26,0,0,0,0,0.68,0,0,0,0,0,0,1.59
 72-82,0,0,0,2.06,0,0,0,0,0.68,0,0,0,1.91,0,0,2.52
 84-94,0,0,0,0,0,0,0,0,3.11,2.96,9.63,0,0,0,0,0
 96-106,0,0,0.97,0,0,0,0,0,0,0,0,0,4.28,0,0,1.55
108-118,0,0,0,0,0.45,0.48,0,0.84,0,0,1.31,0,0,0,0,2.89
