stage,blastomeres,epidermis,eye,fin.epithelia,mesenchyme,neural,somites,vasculature
  5-6,8.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5,0,0
 14-21,0,0,0,0,0,0,0.85,0
 24-34,0,0,0,0,2.18,0,0,0
 36-46,0,0,14.99,0,0,1.27,0,0
 48-58,0,0,2.15,4.09,0.46,7.77,0,0
 60-70,0,0,0,0,0.66,2.11,0,0
 72-82,0,0,0.92,0,5.4,0,0,0
 84-94,0,0,0,0,0,16.87,0,0
108-118,0,0.81,0,0,0,0,0,1.87
