stage,blastomeres,endoderm,eye,gut,hatching.gland,neural
  3-4,25.12,0,0,0,0,0
  5-6,16.03,21.36,0,0,0,14.19
  7-9,0,8.93,0,0,19.55,27.47
 60-70,0,0,0,0,0,1.52
 84-94,0,0,1.56,0.62,0,0
108-118,0,0,0,4.32,0,0
