stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,7.91,0,0,0,99.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.69,8.43,0,0,24.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.39,0,0,0,0,105.67,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,3.87,484.08,4.42,0,0,10.69,0,0,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,121.13,0,0,121.74,0,0,20.1,0,1,17.77,0,0,0,0,0,67.78,0,0,46.67,1426.99,0,0,0.8,0.87,0,0,1.68,10.05,247.5,0,0,3.71,0,0
 24-34,0,0,0.67,78.49,0,0,149.68,5.14,0,74.69,0,0,10.56,1.77,0,0,0,0,35.86,0.84,0,20.48,1993.22,1.57,16,0.66,0,0,2.38,6.16,1.36,395.49,0,0,0,0,0
 36-46,0,0,0,54.33,0,0,145.6,2.91,0,635.95,0,0,3.54,0.65,0,0,0,0,103.2,0.65,0.89,13.98,2037.01,0,13.66,1.22,0,0,0,3.97,0,819.84,0,0,14.32,0,5.95
 48-58,0,0,0.86,66.3,1.01,0,88.32,16.21,1.26,1269.82,0,0,3.32,4.53,0,0,0,2.05,295.72,0,3.24,15.6,659.1,0.55,9.93,0.64,0,0,11.31,1.07,0,931.94,0,3.76,0.46,0,0
 60-70,0,0,0.68,99.95,0,0,102.55,3.75,10,2156.03,0,0,5.83,6.11,12.42,0,1.16,0,471.01,0,6.81,24.07,180.36,0,9.58,0,0,9.83,0.7,0,0,616.22,2.95,16.74,0.59,0,15.8
 72-82,0,0,0,71.23,0.6,0,135.49,5.36,6.41,2473.96,4.36,0,3.41,6.4,0.52,0,0,0,452.74,0.62,13.61,12.67,158.2,0,13.39,1.97,0,15.85,0,0.64,0,115.92,6.48,26.87,0,5.72,0.89
 84-94,0,0,0,114.3,0,0,116.32,3.19,3.6,1785.43,1.5,0,1.89,18.57,2.77,0.62,0.73,0,340.09,0.62,9.26,17.46,133.6,0,26.85,0,0,38.17,1.97,0,0,171.75,4.9,9.96,0.65,4.04,0
 96-106,0,0,0,181.57,0,0,132.15,3.01,11.49,1807.94,2.24,0,2.78,20.46,6.88,0,0.97,0,483.4,0,14.44,21.08,151.66,0,20.92,1.09,0,46.72,4.73,0,0,83.78,6.92,18.68,1.57,6,0
108-118,0,0,0,209.35,0,2.27,89.66,4.06,17.62,1810.63,9.27,0,4.24,9.11,18.6,0,0.63,1.74,423.98,2.87,14.31,10.12,162.02,0,7.3,1.21,0,68.6,0.45,2.12,0,49.54,5.31,22.08,1.91,2.82,0
120,0,0,1.28,133.26,3.25,0,70.93,6.55,0,1878.61,1.78,0,0,14.49,4.78,3.19,6.03,0,371.54,0,0,13.39,155.93,0,1.29,5.19,0,74.81,1.09,0,0,59.35,3.34,0,0,0,0
