stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,35.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.42,0,0,0,0,0,0,0,25.25,0,0,4.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.49,0,0,0,0,0,16.4,0,0,0,0,0,19.48,0,0,0,0
 14-21,0,0,0,2.93,1.4,0,0,0,0.94,1.2,10.97,0,0,0,0,3.13,0,3.41,4.8,0,0
 24-34,0,0,0,0.72,0.6,0,0,0,1.61,2.66,14.75,1.72,0.63,0,0,0,0,0,4.88,1.13,0
 36-46,0,0,0,0,1.94,0,1.08,0,2.59,0,6.18,0,0,0,0,0,0,0,2.53,0,0
 48-58,0,0,0,0,2.44,0,5.5,0,0.4,0,9.49,0,0,0,4.27,0,0,0,3.34,0.54,0
 60-70,0,0,0,1.29,8.73,1.64,0,0,3.35,0,17.3,1.51,0,0,0,0,0,0,2.08,0,0
 72-82,0,0,0,0,8.73,0,0,0,3.47,0,6.4,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.89,0,0,0,2.4,0,1.78,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.94,0.77,0,1.49,0.57,0,0,7.7,0,0,0,0,0,0,0,3.99,0,0
108-118,0,0.91,0,3.6,0.82,0,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0,2.16
120,0,0,0,0,4.62,0,0,0,0,0,16.78,14.1,0,0,1.44,0,0,0,0,0,0
