stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,217.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,123.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0
  7-9,0,7.94,4.56,0,0,0,0,0,0,4.54,0,0,0,0,0,59.79,41.09,0,0,0,0,0,0,0
 10-12,0,0,9.34,0,6.65,0,0,0,0,4.05,0,0,0,0,0,66.72,21.27,0,0,15.69,5.74,0,0,0
 14-21,0,0,0,2.76,0,0,0,0,1.26,0,0,0,0,1.49,2.98,17.2,0,0,2.49,0,0,12.77,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0.62,0,0,1.19,0,15.1,0,0,0,0,0,4.24,0,0
 36-46,0,0,0,0,0,4.85,0,0,0,0,0,0,14.59,0.57,0.6,9.63,0,0,0.86,0,0,9.89,0,0
 48-58,0,0,0,0,0,2.71,0,0,6.06,0,0,0,0,0.42,0,18.16,0,0,0,0,0,3.91,0,0
 60-70,0,0,0,0,0,4.74,0.61,0,1.92,5.25,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.89,0,0.58,4.33,0,0,0,0,7.3,0.59,3.82,0,0.65,0,0,0,1.21,1.09,0
 84-94,0,0,0,0,0,2.2,0,0.91,1.58,0,2.56,0,0,0,0,3.28,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.41,0,0,0,0,0,0,0,4.01,1.99,12.67,0,0,0,0,0,1.46,0.56,0.64
108-118,0,0,0,0.54,0,1.04,0,0,1.62,0,0,1.38,0,0.93,0,19.07,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.12,0,7.61,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0
