stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vasculature
 14-21,0,0,6.33,0,0,0,0,0,0,1.25,0,0,1.1,0,0,0.93,0,0,0,2.52
 24-34,0,0.74,0,0,5.86,0,0,0.73,0,0.96,0,0,1.49,0.78,0,0,0,2.06,0,9.03
 36-46,0,0,0,0,80.79,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,139.78,0,0,0,0,0,0,0,7.88,0,0,0,0,0.61,0,0
 60-70,0,0,1.09,0,219.77,0,0,0,0,0.66,0,0.79,3.88,3.1,0,0,0,4.52,0,1.74
 72-82,0,0,2.24,0,194.5,4.81,0,0,0,2.59,0,0.56,11.68,2.07,0,0,0,0,3.44,1.55
 84-94,2.49,0,0.83,0,270.96,0,0,0,0,0,0.92,0,4.06,1.91,0,0,0,0,0,2.07
 96-106,1.04,0,0,1.75,107.26,0,0,0,10.79,3.27,0,0,10.11,14.72,0,0,0,0,0,9.12
108-118,2.97,0,0.63,0,172.4,0,0,0,0.67,8.02,0,0,7.72,7.21,4.55,0,0.76,0,0,3.81
120,9.35,0,0,0,151.28,0,2.72,0,0,5.21,0,0,0,4.3,0,0,0,0,0,0
