stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,gut,ionocyte,iridophores,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,40.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0
 10-12,0,0,0,4.71,0,0,0,0,0,0,0,21.54,0,13.68,0,0,0,0
 14-21,0,3.51,0.83,0.85,0,0,0,0,0,0,0,5.26,0,0,1.82,1.57,1.96,2.34
 24-34,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,11.57,0,0.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.07,4.56,0,0,25.68,0,0,0
 48-58,0,0,0,0.81,0,0,0,0,0,1.02,0,8.81,0.43,0,40.67,0,0,0
 60-70,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,28.17,0,0,0
 72-82,0,3,3.24,0,0,0,0,0,0,0,0,9.33,0.56,0,21.67,0,0,0
 84-94,0,1.31,0,0,0,0,0,0,0,0,0.56,0.66,0,0,76.29,0,0,0
 96-106,0,7.05,0,0,0,1.53,0.93,0,2.73,0,0.76,16.23,0,0,71.77,0,0,0
108-118,0,4.47,0,0,0.54,1.17,1.61,0.43,0,3.95,0,4.57,0,0,72.61,0,0,0
120,0,18.3,0,7.89,0,0,0,0,0,0,0,1.29,0,0,32.39,0,0,0
