stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,138.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.74,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.51,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.55,10.49,2.5,0,0,0,0,0,0,144.17,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0.85,2.07,0,0,0,0,0
 24-34,0,0,0,0,40.19,6.29,11.82,0,3.69,0,0,0,0,453.81,2.67,0,0,0,0,0.8,0,0,2.99,29.85,2.02,1.49,0,0,0,0,9.07,0,1.08,10.66,0,0,7.19,0,0
 36-46,0,0,0,0,54.6,9.95,14.59,1.64,10.9,0,11.04,0,0,706.31,0,0,0,2.68,0,0.67,0,0,0.66,51.36,2.16,0,2.04,0,0,2.66,2.81,0.57,0,7.88,0,0,4.06,0,0
 48-58,0,0,0,0,33.51,0,22.31,0,7.1,0,2.41,0,0,467.08,0,0,0,0,0,9.25,0,0,0,48.11,15.47,0.86,0,0,0,0,14.8,0.98,0,3.29,0,0,5.43,0,0.93
 60-70,0,0,0,0,33.7,1.54,87.72,0,4.95,0,3.25,5.37,0,621.72,1.91,0,0,0,0,2.45,0,0,0,29.05,17.39,0,0,0,0,0,1.22,0,0,1.36,2.13,0.57,5.74,0,0
 72-82,0,0,0,0,66.19,2.44,100.6,1.65,8.66,1.05,4.25,9.79,0.86,514.75,6.63,0,0,1.28,1.32,9.94,0,0.55,0.72,59.59,44.66,0,0,0,0,1.98,3.77,0,0,2.23,0,0,14.13,0,0
 84-94,0,0,2.56,0,49.71,0.98,133,0,11.14,0,2.48,18.26,0.71,537.13,3.1,0,0,2.79,0,4.49,1.62,0.82,0,32.75,43.33,2.97,1.1,0,0,10.03,10.21,0,0,1.58,10.63,0,12.52,1.27,0
 96-106,0,0,1.16,0,100.68,16.72,135.03,0,3.67,0,5.41,17.7,0,713.7,7.28,0.75,1.11,2.69,0,11.62,2.6,1.24,1.41,65.18,23.11,3.96,0,0,1.32,5.2,7.45,0,0,8.99,0,0.58,27.19,0.61,0
108-118,0,0,0,0.49,82.41,9.61,152.96,0,10.67,0,1.9,29.84,0,612.98,14.68,0,0,2.68,0,5.61,0.53,1.59,0,58.81,34.42,0.83,0,0,3.15,3.61,5.07,0,0,10.24,3.12,0,22.12,0,5.37
120,0,0,0,0,89.39,16.28,39.43,0,7.67,0,0,46.13,0,947.02,2.56,0,3.44,0,0,28.96,0,0,0,56.45,51.43,3.06,1.02,0,0,9.49,2.45,0,0,0,0,0,24.82,0,0
