stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,35.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,12.47,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.36,0,0,27.72,0,4.56,0,0,0,0
 14-21,0,1.14,0,3.2,0,0,0,0,0,0,0,0,0,0,0,21.24,0,0,0,3.26,0,0,0,0,0.94,0.86,0,0,0
 24-34,0,1.97,0,0,0,0,0,0,0,0,0,0,0.72,0,0,8.72,0,0,0,4.25,0,0,0,1.78,0,1.85,3.11,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.67,0,0,3.39,0,0,11.04,2.23,0,0,2.61,0.99,0,0,0,0,5.16,2.23,0,0
 48-58,0,0,0,0,0,2.19,0,0,0,6.87,0,0,0,0,0,8.68,1.02,0,0,5.04,0,0,0,0.67,0,3.22,0.93,0,0
 60-70,0,0.86,0,0.9,0,5.59,0,0,2.37,8.75,0,0,0,4.51,0.82,32.46,0,0,0,20.26,0,0,0,0,0,5.26,0,0,0
 72-82,0,7.6,0,0,0.49,6.24,0,0.64,0,48.27,0,0,0,0,0,18.95,1.72,0,0,26.29,0,0,0,0,0,7.15,0,2.71,0
 84-94,0,12.13,0,0,0,12.9,0.6,0,1,93.67,0,0,0,0,0,51.92,1.28,0.72,0,11.11,0.56,1.3,0,1.16,0,12.56,0,3.62,0
 96-106,0,8.02,0,0,4.97,17.68,0,0,4.96,175.5,0,0.56,0.67,0,0,103.12,8.04,0,2.78,67.1,0,0,0,0,0,6.38,0,0,0
108-118,0,4.09,0,1.49,0,17.21,0,0,4.61,276.63,0.83,0.74,1.45,0,0,120.64,8.34,0.69,0.65,42.13,0,0,0,2.77,0,2.39,0,0,4.66
120,0,13.12,0,0,1.46,16.95,0,0,10.09,136.24,0,0,0,0,0,51.77,0,11.82,0,47.96,2.92,0,0,0,0,0,0,0,0
