stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,1.32,0,0,0,0,0,0,0,0,4.12,0.85,0,0,0,0,1.13,4.56,0,0,0,3.62
 24-34,0,0,0,0,0,0,0,0,0,0,2.7,0,0,59.46,0,0,0.77,0,0,0,23.51,0,1.44,0,0
 36-46,0,0.7,4.43,0.75,2.89,0,0,0,0,0.91,2.78,0,1.27,135.87,0,0,0,0,0,0,26.76,0,2.16,0,0
 48-58,0,0,37.66,0,7.83,0,0,0,0,0,7.16,0.69,0.4,186.67,0,0.6,2.29,0,0.68,0,24.37,0,4.19,0,0
 60-70,0.82,3.26,118.45,0,9.93,0.71,0,3.46,0,2.05,19.42,0,0.77,238.42,0,0,0,2.89,0,0,30.45,0,0.72,0.81,0
 72-82,0,0,94.48,1.07,4.67,0,0,0,1.76,0,21.28,6.78,0,145.85,0,0.98,0,0,0,0,9.87,0,6.86,0,0
 84-94,0,0,98.99,0,12.91,1.92,1.56,0,0,0,11.47,0,5.7,102.2,0,0,0,0,0,0,10.45,3.05,0.65,0,0
 96-106,0,0,70.87,0,7.85,0,0,1.03,0,0,18.18,0,1.27,83.93,0,0,0,0,0,0,0.95,0.93,2.65,0,0
108-118,0.54,0.7,34.86,0,7.21,0,0,0.51,0,0,29.94,0,2.41,113.12,0.46,0,0,0,0,0,10.57,0,0,0,7.06
120,0,0,24.79,0,0,0,0,0,0,0,2.83,0,0,117.44,0,0,0,19.49,0,0,4.07,0,0,0,0
