stage,epidermis,eye,glial,mesenchyme,neural,spinal.cord
 10-12,0,0,0,0,4.83,0
 24-34,0.72,0,0,0,0.69,0
 36-46,0,0,0,0,4.38,2.96
 48-58,0,0,0.51,0,7.81,1.15
 60-70,0,2.19,0,0,11.88,1.31
 72-82,0,3.06,0.83,1.04,7.27,7.04
 84-94,0,0,0,0,0,4.84
 96-106,0,0,0,0,2.36,0
