stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.74,933.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.17,0,0,0,0,0,0,0,0,0
  5-6,63.35,537.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,6.15,0,0,0,0,0,0,0,0,0
  7-9,0,4,0,3.78,0,0,3.38,0,0,0,0,0,8.95,0,0,0,0,0,0,0,79.08,0,0,0,8.49,0,13.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.04,0,0,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,54.26,0,0,0,49.93,0,0,0,0,4.89,0,0,0,0,0
 14-21,0,1.36,0,1.56,9.01,0.81,5.08,0,0,0,0,1.21,0,0,0,0,0,2.04,0,7.99,34.66,3.46,1.07,0.81,4.09,0,0,8.02,0,8.55,10.72,0,0,0,0
 24-34,0,0,0,0,1.66,0.68,10.85,0,0,0,2.89,0,0,0,0,0.75,0,7.13,0,3.94,65.9,0,0,0,0,3.16,0,0,0,2.98,12.56,0,0,0.79,0
 36-46,0,0,0,0,2.93,0,8.03,0,0,0,2.88,0,0.59,0,0,0,0,3.25,0,2.54,64.5,0,0,0,0,0.78,0,0,0.74,0,16,0,0,0,0
 48-58,0,0,0,0,1.66,0,16.07,0.43,7.54,0,6.31,0,0,0,0,0,0,11.84,0,1.48,64.67,0,0,0.95,0,0,0,0,0,0,19.81,0,0,0,4.14
 60-70,0,0,0,0,1.07,0,32.19,0,0,0,14.22,0,0,0,0,0,3.3,10.73,1.41,1.45,90.81,0.62,0,0,0,1.2,0,0,0,0,6.19,0,0.79,0,0
 72-82,0,0,0.61,0,0.5,0,16.63,0,0,0,2.12,0,0,0,0,0,0,4.43,0,2.92,101.11,0,0.53,2.03,0,0.86,0,0,0,0,11.2,0.56,0,2.1,2.17
 84-94,0,0,0,0,1.59,3.1,16.55,0,0,0,3.11,0,0,1.08,0,0,0,10.4,0,1.47,30.85,0.76,0.89,0,0,1.36,0,0,2.53,0,1.5,0,0,0,2.12
 96-106,0,0,0,0,0,6.31,30.96,0,0,0.77,2.6,0,0,0,0,0,2.71,4.84,0,0,30.25,0,0,0.86,0,0.81,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.4,0,29.93,0,0,0,5.17,1.54,0,0.48,0.44,0,1.09,16.83,0.71,2.51,47.37,0,0,1.03,0,4.7,0,0,0,0,13.26,0.51,1.88,0.62,0
120,0,0,0,0,8.98,10.5,20.43,0,0,1.04,0,0,0,0,0,0,0,7.78,0,0,73.26,0,1.32,0,0,7.55,0,0,1.73,0,10.19,0,0,0,0
