stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.97,0.93,1.54,0,1.02,0,0,0,0,0,0,1.12,0,0,1.27,28.86,0,0,4.45,0,5.14,3.24,1.82,12.67,0,0,0,0,0
 24-34,0,0,0,1.33,0,0,0,1.04,0,0,0,0,1.11,0,0,0.84,29.94,0.67,2.84,0,0,0,0,0,2.01,0,0,0,0,0
 36-46,0,0,0,0.64,0,1.27,0,0,0,0,0,1.07,2.43,0,0,1.29,46.51,0,0,0,0,0,0,0,11.42,0,0,8.84,0,0
 48-58,0,2.64,0,10.69,0,3.79,0,0,0,0,6.52,0,1.7,0,0,0,27.55,0.5,0,0.7,0,1.12,0,0,10.09,0,0,0,0,0
 60-70,0,0,0,13.61,0,0,0,0,0,0,0,0,1.35,0,0.98,0.9,27.91,0,0,1.82,0,0,0,0,16.13,0,0,0,0,0
 72-82,0,0.51,0,26,0,7.51,0.56,0,1.17,0,0.64,0,10.79,0,0,1.73,46.67,0,1.18,0.57,1.03,0,0,0,4.22,0,0,1.3,1.14,0
 84-94,0,0,0,11.65,0,7.67,1.56,0,2.66,0,0,0,6.71,0,0,0.57,21.77,0,2,0.55,0,4.33,0,0,4.85,0,0,8.1,0,0
 96-106,0,8.58,0,26.03,1.32,5.65,0.57,0,1.75,0,0.59,0,11.85,0,0,0,14.02,0,1.81,0,0,2.14,0,0,0,2.45,0,3.12,0,0
108-118,0.54,6.83,0.77,44.02,0,17.98,1.5,0,4.92,0.48,0,0,13.06,1.01,1.06,1.21,48.22,1.05,1.72,0.43,0,0,0,0,0,0,0.77,0.85,0,0.79
120,0,2.32,2.1,25.51,0,28.26,0,0,0,0,0,14.94,17.31,0,1.38,0,71.26,0,0,0,0,0,0,0,18.52,0,0,0,0,0
