stage,axial,blastomeres,endoderm,eye,gut,hatching_gland,immune,muscle,neural,paraxial_mesoderm,periderm,pgc,spinal_cord
  5-6,6.93,20.11,0,0,0,0,0,0,0,9.77,0,0,0
  7-9,0,0,3.53,0,0,7.77,0,0,12.65,8.64,0,0,0
 10-12,0,0,0,3.73,0,0,0,0,28.48,9.34,0,4.8,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.29
 24-34,0,0,0,0,0,0,0,0.6,0,0,0,0,3.32
 36-46,0,0,0,0.77,0,0,0,0,1.22,0,5.93,0,7.58
 48-58,0,0,0,0.38,0,0,0.42,0,0,0,0.39,0,0
 60-70,0,0,0,13.96,0,0,0,0,3.36,0,0,0,0
 72-82,0,0,0,3.53,0,0,0,0,0,0,2.97,0,0
 84-94,0,0,0,6.36,0.77,0,2.01,0,0,0,7.88,0,0
 96-106,0,0,0,3.04,0,0,3.39,0,7.02,0,3.83,0,0
108-118,0,0,0,3.64,0,0,2.04,0,0,0,2.24,0,0
