stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.44,0,0,0,44.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.04,0,67.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.99,6.41,0,0,131.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.17,77.48,29.58,0,15.23,0,2.57,0,4.1,24.38,0,6.09,0,0,0,0,0,0,85.15,0,0,56,192.88,319.64,0,1.07,2.14,0,0,15.05,4.95,10.88,38.08,111.73,0,0,16.03,0,0
 24-34,0,2.51,5,52.85,3.01,0,38.3,0,8.53,2.25,6.48,7.45,2.21,10.66,0,0,0.7,0,0,2.55,153.23,0,2.4,41.93,536.71,27.06,5.37,1.4,0,0,3.56,0,9.98,6.89,6.73,106.77,0,0,91.45,0,0.63
 36-46,0,0,0,31.22,0,0,61.43,0,3.41,0,32.2,0.89,0,5.58,0,0,0,2.53,0,6.95,119.76,0.65,7.2,16.09,420.92,5.67,6.1,0,0,0,10.83,0,0.56,0,0,139.57,0,1.04,62.74,0,2.66
 48-58,0,0,0,9.91,0,0,155.99,1.32,2.45,2.75,49.95,0,0.42,5.24,0,0,3.23,1.48,1.59,4.45,134.44,0,6.84,12.19,307.43,13.87,7.75,1.23,0,0,0.85,0,0,4.61,0,84.86,0,2.48,70.8,0,0.62
 60-70,0,0.86,0,22.16,0,0,641.33,0,8.27,0.59,85.71,3.19,0,2.8,4.72,1.37,0,3.05,5.07,0,151.68,0.62,12.57,19.07,228.48,8.16,11.12,4.37,0,1.13,13.14,0,7.9,0,0,57.85,0,0.63,70.71,1.41,2.69
 72-82,0,0.62,0,25.76,0,0,425.26,0.49,10.79,4.62,82.11,3.19,0,2.54,0,0.65,0.79,7.6,3.49,0,233.45,0.94,32.17,11.81,106.36,7.13,18.2,1.04,0,0,3.53,0,0.49,0,0,25.13,0.88,2.04,148.43,6.51,1.89
 84-94,0,3.52,0,35.41,0,0,185.05,3.36,4.19,0.59,47.4,9.98,0,3.77,1.43,1.15,1.64,0.61,0,1.82,175.93,0.84,36.59,8.4,94.74,6.76,16.56,3.2,0,0,12.48,0,4.21,0,0,56.58,3.38,0,92.83,9.85,2.29
 96-106,0,0,1.03,44.58,2.2,0.62,174.42,0.9,4.27,5.17,59.66,5.4,0,2.39,0.56,1.62,1.47,5.14,7.59,0,164.64,4.13,32.46,7.04,104.08,3.32,10.59,7.8,0,4.16,10.33,0,1.27,0,0,30.91,1.44,7.1,128.1,3.92,1.75
108-118,0,3.11,0,48.48,1.41,6.43,182.47,2.22,9.5,5.12,122.61,11.23,0,1.04,2,1.73,4.32,11.35,8.37,6.27,215.57,0.43,27.34,22.23,143.68,11.45,9.76,11.83,0,6.65,23.83,0,4.74,0,0,9.59,6.96,8,135.35,4.52,5.6
120,0,0,0,63.71,1.25,0,114.29,1.61,17.8,1.83,122.7,4.9,0,0,3.52,3.21,9.13,7.65,3.79,4.91,308.09,0,37.5,25.6,121.94,2.87,25.63,4.14,0,31.71,5.75,0,4.51,0,0,17.75,3.16,1.46,305.7,6.37,0
