stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.08,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.88,1.2,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.02,8.46,0,0,0,0,0,0.9,0.83,1.11,0,1.75,0,0,0,0
 24-34,0,0,4.43,0,0,3.84,0.93,0,0,0,2.62,0,0.81,0,0,2.12,0,0,0.89,49.08,0,2.87,0,0,13.69,0,0,1.38,0,15.85,0,0,4.44,0
 36-46,0,0,2.86,0,0,4.37,0,0,0,0,0,0,0.93,0,0,3.45,0,0,0.62,88.29,0,4.22,9.6,0,4.2,0,0,0,0,23.15,0,0,0,0
 48-58,0,0,1.73,0,0,52.39,1.86,7.76,0,2.79,0.42,5.79,0,0,0,11.13,0,0,0.65,104.42,0,1.64,0,0,4.59,0,0,0,0,15.19,0,0,1.8,1.88
 60-70,0,0,0.64,0,0,23.51,0,3.72,0,0,0,0,0,0,0,12.08,0,0,0,106.93,0,0,0,0,0.62,0,0,0,0,8.68,0,0,0,0
 72-82,0,0,0,0,0,30.88,0.5,7.13,0,0,0,0.65,0,3.28,0,10.36,0,1.42,0,110.53,0,0,3.07,0,0.55,0,0,0.73,0,14.29,0.68,0,2.97,0
 84-94,0,0,5.63,4.52,0,49.65,0,3.27,2.57,0,0,0,3.72,0,0,14.74,0,0,0,57.44,0,0.66,1.05,0,3.4,0,0,0,0.63,2.57,0,0.88,1.49,0
 96-106,0,1.08,2.12,11.78,0.84,32.53,0.7,2.42,0,0,0,3.72,0.61,0,0,7.18,0.97,0,0,86.14,0,2.65,1.01,0,1.16,0,0,0,0,3.93,0,0,2.25,0
108-118,0,0,2.04,0,0,6.96,0,11.47,1.03,0,0.43,1.27,2.22,0.73,1.77,11.92,3.9,0,2.37,61.16,0,0,2.13,2.11,2.78,0,0,0,0,0,0,0.54,1.19,2.23
120,0,0,4.49,11.88,0,22.79,6.61,32.82,0,0,0,3.1,0,0,0,10.43,3.01,1.38,1.54,109.63,0,3.27,0,0,2.24,0,0,0,1.6,0,0,0,0,0
