stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,32.23,0,0,0,0,0,0,0,0,0,0,0,12.88,0
  5-6,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.81,0,6.13,0,0,0,16.76,0,0,0,0
 10-12,0,9.75,0,0,0,0,0,0,0,19.93,0,22.57,6.84,0
 14-21,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.73,0,0,0,0,0,1.56,0,0,0,0,0
 36-46,0,0,3.4,0,0,0,0,0,0,1.84,0,0,0.83,0
 48-58,0,0,0,1.08,0,0,0,0,0,0,0,0,3.72,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0
 96-106,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.76,0,0,1.58,0.86,0,2.3,0
120,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0
