stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,33.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.02,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,54.16,0,13.68,0,0,0,0,0
 14-21,0,0,1.14,3.68,0,0,0,1.33,0,0,0.98,0,0,1.11,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.95,0,1.16,0,0
 36-46,0,0,0,0.67,0,0,0,0,0,0,2.86,0,0,0,0,1.37,0,0
 48-58,0,0,0,3.1,0.44,0,1.19,0,1.26,0,10.03,0,0,1.23,0,0.38,1.33,0
 60-70,0,0,0,9.02,0,0.67,0.62,0,0.71,0,22.66,0,0,0,0,0,0,0
 72-82,0,0,0.99,9.77,0,0,0,0,2.16,0,11.69,0,0,0,0,0,1.3,2.1
 84-94,0,0,0,9.74,0,1.13,0,0,1.04,1.01,15.86,0,0,2.96,0,0,0,0
 96-106,0,0,0,34.57,0,0,3.05,0,1.55,0,9.4,0.59,0,1.73,0,0.58,0,0
108-118,0,0,1.03,25.5,0,0,3.08,0,0,0,0.78,0,0,0.78,4.04,0.72,7.74,0
120,0,0,0,11.48,0,0,19.57,0,0,0,5.14,0,0,1.36,0,0,0,0
