stage,endoderm,eye,mesenchyme,mural.cell,neural
 10-12,5.19,0,0,0,12.23
 48-58,0,0,0,0.41,0
 60-70,0,0,0,0,1.14
 84-94,0,1.81,0,0,0
108-118,0,0,0.74,0,1.63
