stage,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,spinal.cord,taste,vasculature
 14-21,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.79,0,1.98,0,3.55
 36-46,0,0,0,0,0,0,0,0,3,0,7.61,0,3.51
 48-58,0,0,0,0,0,0,0,0,24.1,0,1.57,0,1.29
 60-70,0,1.45,0,0,0,0,0,0,44.44,0,4.04,0,0
 72-82,0,7.52,0,0,0,0.99,0,0,66.81,0,1.4,0,0
 84-94,0,16.85,3.15,0,0,1.62,0,0,99.72,0,1.04,0.9,1.88
 96-106,3.16,25,0,1.65,1.02,0,0,0,101.66,0.57,1.41,0,0
108-118,0,23.46,0,3.32,0,2.21,0.54,1.25,149.96,0,3.25,0,0
120,0,53.65,0,8.53,0,0,0,0,269.4,0,0,0,4.28
