stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.5,0,0,0,0,0,0,0,0,0,61.3,0,4.24,0,0,0,0,0,0
 10-12,0,0,0,0,9.36,0,0,0,0,0,0,28.11,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,8.85,0,0,1.11,0.64,2.39,0,1.65,0
 36-46,0,0,0,0,2.16,0.81,0,0,0,9.16,0,10.06,0,0,0,0,1.42,0,0,0
 48-58,0,0,0,0,4.68,0.5,0,0,0,0.5,0,9.95,0,0,0,1.32,4.43,0,0.47,0
 60-70,0,0,0,0,1.37,0,0,1.16,0,1.55,0,6.53,0,0,0,15.29,0.95,0,0,2.89
 72-82,0,0,0,0,5.8,3.04,0,0,0,1.76,0,5.88,0,0,2.97,72.15,0,0,0,9.26
 84-94,0,0,2.02,0,0.71,0,0,0,8.81,0,0,4.37,1.26,0,0,157.98,0,0,0,0
 96-106,0,0,0.79,7.13,0,3.61,0,0,7.81,0,0,6.17,1.09,0,1.41,192.91,0,1.2,0,0
108-118,0,0,0.89,0,6.21,2.65,0.41,0,2.49,2.96,0.49,10.34,2.48,0,0,191.59,0,0,0,0
120,0,0,0,0,2.91,0,0,0,0,3.15,0,34.34,0,0,2.12,188.31,0,0,0,0
