stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8.73,0.88,0.98,0,0,0,0,0,0,0,0,0,0.94,1.98,0,0,1.01,13.57,0.82,0,0,0,3.15,0.92,0,0.82,4.11,8.16,0,0,1.45,0,0
 24-34,0,5.92,0,3.24,0,0,0,1.4,0,0,0,0,0,0,3,0,0,3.08,54.49,0,2.26,1.83,0,3.87,0,0,0,1.37,21.45,0,0,2.81,0,0
 36-46,0,2.81,0,1.96,1.19,0,10.24,2.82,2.96,0,0,0,0,2.37,7.37,0,0,2.6,212.27,4.85,7.4,2.78,0,15.37,0,0.72,0,0,66.5,0,0,6.68,0,1.3
 48-58,0,0,0,1.75,0,0,1.58,0,0,0,0,0.41,0,0,5.34,0,0,0.38,74.72,0,0,0.46,0,2.53,0,0,0,0,18.77,0,0,0,0,0
 60-70,0,0,0,3,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,32.14,0,0,2.12,0,0,0,0,0,0,3.72,0,0,0,0,0
 72-82,0,4.05,0,4.02,0,1.23,0,0,0,0,0,0,0,0,4.98,0,0,0,20.08,0,0,0,0,2.13,0,0,0,0,10.56,0,0.5,0,0,0
 84-94,0,1.06,0,8.58,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,34.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.72,0,3.9,0,0,0.8,1.18,0,0.56,0.8,0,0,0,0.98,0,0,1.03,14.02,0,0,0,0,20.71,0,0,0,0,1.13,0,0,0,0,0
108-118,0,8.75,0.57,30.06,2.42,0,14.29,4.59,0,0,1.5,0,0.46,0,14.97,0.54,11.41,0,64.29,0,0,0,0,30.17,0,0.87,0,0,2.43,3.34,0,12.7,1.63,0
120,0,1.27,2.11,34.49,0,0,0,3.02,0,0,0,0,0,0,2.29,0,0,0,22.36,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0
