stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.83,1.14,0,0,0,0,0,0,0,0,54.21,0,0,0,0,0,9.72,0,6.75,54.72,0,3.21,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,9.73,0,0,0,0.87,0,0,0,0,0,456.13,0,0.79,0,0.93,0,17.28,0,0.75,35.4,0,0,0,0,1.31,0,0,0,0,0
 72-82,0,1.92,0,0,48.72,0,0,4.65,0.59,0.51,0.53,0,0,0,1071.52,0,13.54,0,0,0,70.03,0,1.88,57.88,0,2.67,0.5,0,2.97,0,1.49,0.94,0,0
 84-94,0,5.51,16.28,0,37.73,0,0,0.89,27.29,0,0,0.71,0,0,1506.8,3.45,2.41,0,2.32,0,38.08,0,17.42,9.7,0,5.62,0,0,0,2.89,0,2.19,0,3.53
 96-106,0.83,20.63,11.08,94.27,87.96,0,2.82,0.63,15.74,12.76,0,2.12,4.49,3.76,2918.37,8.03,42.92,1.66,4.18,4.01,131.81,2.19,18.82,6.42,0,28.34,1.37,0,6.13,0.56,0,12.38,5.05,1.19
108-118,0,6.18,9.88,5.81,32.39,0,1.76,0,5.04,0,0.47,0.56,16.33,1.36,2573.09,1.05,19.08,1.14,1.54,2.78,120.53,0,16.72,27.02,4.03,17.17,0,0.86,8.9,1.13,0,0.88,0,3.61
120,0,7.69,5.19,0,1.29,1.43,0,0,0,11.79,0,4.04,2.91,0,3017.38,0,0,0,2.4,3.59,110.93,0,27.17,1.86,0,5.15,2.89,0,4.39,0,0,0,0,0
