stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,226.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,332.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,14.25,0,0,0,0,0,0,0,0
  7-9,4.99,30.82,0,14.87,0,0,29.58,0,0,0,0,0,0,0,0,0,0,0,0,809.5,16.27,0,0,178.09,3.29,0,0,0,0,0,0,0,0
 10-12,0,45.92,0,17.24,0,0,27.03,0,0,0,0,0,0,0,0,0,0,0,0,1322.76,30.3,0,0,256.54,6.13,0,3.14,0,5.32,0,0,0,0
 14-21,0,0,0,19.08,26.93,7.68,1.2,0,0,10.01,3.43,0,0,0,2.29,0,10.18,0,7.12,89.31,4.06,0,0.84,8.35,15.28,14.76,20.7,7.06,207.85,0,9.51,0,0
 24-34,0,0,0,3.4,2.88,2.8,3.2,0,0,12.49,0,0,2.05,0,0,0,23.02,0,7.38,163.23,0.62,0,0.79,0,8.1,0,10.39,3.57,342.83,0,35.15,0,1.36
 36-46,0,0,0,0,1.81,0,0.61,1.29,0.8,5.29,0,0,0.58,0.67,1.14,0,12.79,0,3.17,113.32,0,0,0,0,2.55,0,1.93,0,284.43,0,6.73,0,0
 48-58,0,0,0,0,0,0,6.67,0,0.85,8.33,0,0.59,0,1.43,0.37,0,6.58,0.87,3.41,114.32,0,0.85,0,0,0,0,0.54,0,159.8,0,1.58,0,0
 60-70,0,0,0,0,0,0,5.62,0,0.67,6.82,0,0,2.71,0,0,0,3.27,0,0,70.47,0.75,0,0,0,4.68,0,0,0,67.8,0,1.34,0,0
 72-82,0,0,0.69,0,0.86,4.04,6.64,0,1.01,7.06,1.06,0,24.14,0,0,0,11.93,0.57,1.68,86.26,0,0.74,0,0,0,0,0.49,0,74.11,0,2.04,2.5,0
 84-94,0,0,0,0,0.9,0,0,0,0,12.61,0,0,23.65,0,2.82,0,10.73,3.62,0.9,15.22,0,0,0,0,1.7,0,0,0,22.17,1.78,4.93,0,0
 96-106,0,0,0,0,7.91,1.99,3.43,0,0,12.13,0,0,66.51,2.39,0,0,5.22,5.89,1.66,38.99,0,1.2,0,0,0.71,0,0,0,18.31,1.03,7.23,0,0
108-118,0,0,1.11,0,4.05,1.01,1.51,0,6.03,14.83,0.66,0,73.34,0,8.79,0.66,4.91,0,0,31.49,0,0,0,0,1.32,0,0,0,3.5,0,3.76,0,3.05
120,0,0,0,0,0,1.33,2.57,0,0,2.7,0,0,92.23,1.15,7.77,0,19.45,2.4,0,41.58,0,0,0,0,4.27,0,0,0,15.2,1.32,8.53,0,0
