stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,4.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,8.05,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0.81,9.16,0,0,0,0,0,0,0,1.66,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,1.19,3.52,0,0,1.32,0,0,0,0,0.64,0,0,0,0
 36-46,0,0,0,0,58.31,0,0,0,0,0,0,0,0,0,0,4.44,0,5.54,6.42,0,0,0,0,0,0,0,4.72,0,0,0,0
 48-58,0,0,0,0,872.94,7.97,0,0,5.08,0,0,4.17,0,0,0,14.33,0,1.55,128.75,0,0,0.51,0,4.21,0,0,2.05,0,0,0,5.62
 60-70,0,0,0.57,0,2156.96,0,0,1.2,19.79,0,0,0,0,0,0,10.81,0.71,1.62,209.51,5.19,0,7.82,0,0,5.07,0,8.25,0,0,0,0
 72-82,0,6.11,1.19,0,1942.97,0,0.8,0,9.85,0,1.5,1.16,0,0,0,33.78,0,3.74,148.66,0,0,0,0,1.93,0,0.55,10.12,1.51,2.44,0,0
 84-94,0,7.37,3.17,0,1167.77,0,0,0.87,39.55,0.89,0,0,54.5,0.61,0,30.87,0,1.23,107.41,0,0,0,0,5.24,0,0,14.52,0,6,0,5.38
 96-106,0,2.22,4.71,0,940.07,0.58,0,0,24.88,1.01,0,0,0,0,0,17.58,2.02,4.33,153.63,0,0,0,0,1.94,0,0,6.78,0.72,0,0,0
108-118,0,3.58,8.47,0,1191.6,0,0,0,35.28,0,0,0,0,0,2.23,30.35,0,0,95.25,0,0,0,0,0.67,0,0,0,0,0,0.57,0
120,0,7.16,5.43,1.06,1212.42,0,0,0,16.02,0,0,0,0,0,0,12.85,0,15.27,97.87,0,11.07,0,0,0,0,0,0,7.39,2.27,0,0
