stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,40.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.97,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,1.3,0,0,0,52.67,0,0,0,0.84,0,0,0,0,25.59,0,0,0,0
 24-34,0,0,0.96,0.67,1,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,393.53,0,0.75,1.19,0,0,0,0,0,90.74,0,0,0,0
 36-46,0,0,0,5.39,0,8.19,0,0,0,3.48,0,0,0,0,0,0,0,0,0.65,0,0,0,790.03,0,5.87,0,0,9.29,0.81,0,0,102.27,0,0,0,0
 48-58,0,0,0,2.92,0,78.21,0,0,0,10.1,0,0,2.08,0,0,0,0,0,9.28,0,0.98,1.31,1463.84,4.6,1.88,0,0,3.36,0,0,0,94.95,0,0.47,0,3.44
 60-70,0,0,0,2.88,0,219.24,0,0,0,13.58,0,2,0,0,0,0,1.12,8.52,16.52,0,0.78,0,2193.39,0,2.21,0,0,0,0,0,1.01,152.77,0,0,0,11.98
 72-82,0,0,1.49,7.3,8.16,215.32,0,0,0,30.68,0.61,0,0,0.6,0,2.96,0,0,7.87,0,1.5,0.54,2115.93,0,2.3,0,0,1.58,0,0,0,113.53,2.98,2.63,0,6.76
 84-94,0,0,2.73,11.56,1.85,183.37,0.68,0,0,29.44,0.76,0.66,1.27,0.65,0.76,1.05,0,0,10.69,0,0.66,3.24,1237.89,0,8.23,3.03,0,0.61,0,0,0,64.85,0,0,2.23,0
 96-106,0,0,1.62,6.83,4.87,146.49,0,0.6,1.73,25.81,1.48,0,0,0,0.56,0,0,0,20.68,0.71,0,0.92,1068.23,0,1.6,5.66,0,3.79,0,0,0,28.07,1.24,0,0,0
108-118,0,0,0.41,4.57,7.19,128.35,0,1.18,1.23,12.96,0,0,0,0,0,0,0,0,13.01,7.11,4.58,2.86,1126.01,0,2.67,0.57,0,4.77,0,0.94,0,28.2,0.67,1.55,1.11,0
120,0,0,3.73,29.38,0,155.26,0,0,1.58,39.37,0,0,0,12.44,0,0,0,0,6.73,0,2.21,0,2442.26,0,4.11,2.63,0,1.73,0,0,0,41.83,0,12.8,12.45,0
