stage,eye,glial,mesenchyme,neural,spinal.cord,vasculature
 14-21,0,0,0,0,0.89,0
 24-34,1.4,0,0.61,0,1.96,1.82
 36-46,5.68,0,0.67,0,0.7,0
 48-58,0.46,0,0,3,0,2.52
 60-70,0,0,0,6,0,0
 72-82,0,2.33,0,5.65,0,0
 84-94,1.55,0,0,3.93,0,0
