stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,882.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.44,669.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.31,0,5.92,0,0,0,80.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.05,0,0,0,96.63,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,23.66,0,0,0,30.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.98,23.12,0,0,88.01,0,0,0,0,15.01,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.01,31.89,0,0,8.02,0,0,0,0.81,0,0,2.94,0,0,0,0,6.72,0,0,0,35.54,23.93,0,0.81,12.54,0,25.23,0,4.88,0,0,2.02,19.54,0,0,0,0,0
 24-34,0,0,0,0.62,6.99,0,0,4.15,1.71,0,1.86,0,0,0.64,1.5,0,2.09,2.2,0,10.4,2.02,0,2.03,56.85,0.95,1.96,2.12,0,0,60.32,0,0,8.8,0.61,0,13.67,0,0,0.6,0,0
 36-46,0,0,0,0,2.74,1.12,0,0.69,0.87,0,5.82,0,0,2.14,2.13,0,3.2,0,0,8.16,0,0,0.88,73.69,0,6.62,0.72,0,0,72.99,0,0,13.11,0,0,1.98,0,0,0,0,0
 48-58,0,0,0,0,4.94,2.2,0,10.17,0,0,0.76,0,0,8.05,0.7,0,2.2,1.04,0,2.89,0.37,0,2.1,88.47,0,10.74,4.79,0,0.56,99.8,0,0,4.08,0,0,1.86,0,0,0.51,0,5.91
 60-70,0,0,1.85,0,10.25,0,0,88.61,2.58,0.84,5.21,5.32,0,0.72,1.52,2.5,5.14,0.74,0,12.22,1.52,0,0.58,103.06,0,12.84,6.08,0,0,103.63,0,0,0.88,0,0,7.16,0.84,0,0,0,0
 72-82,0,0,2.9,0,10.71,0,0,115.1,0,0,6.4,20.3,1.32,1.65,4.29,0.75,2.6,9.15,4.34,16.23,0.56,1.07,9.66,123.69,0,10.94,1.88,0,0,176.5,0,0,2.17,0,0,7.78,0.62,2.54,0,3.24,0
 84-94,0,0,5.14,0.78,28.95,6.82,2.12,42.28,3.95,0.62,2.94,27.7,0,7.56,6.08,0,3.46,6.29,0,23,1.5,4.32,0.78,73.46,0,4.44,9.17,0,0,325.66,0,0,22.17,0,0,5.82,2.9,0,1.63,8.6,0
 96-106,0,0,3.61,0.72,42,5.89,0.72,110.04,2.11,0,9.81,61.15,0.62,2.84,3.24,0.77,4.66,22.41,0,18.42,0.78,2.61,2.85,96.88,0,7.12,3.4,0,0,259.94,2.06,0,20.45,0,0,9.86,6.81,1.21,0,4.99,0
108-118,0,0,3.01,0.77,33.75,6.45,5.03,96.94,3.24,2.02,18.85,54.34,0,5.85,9.43,1.26,4.64,29,0,34.53,3.12,0.94,5.04,89.85,0,3.69,4.92,0,0,221.1,0,0,40.76,0,0,0.71,20.22,0,6.81,6.49,4.56
120,1.19,0,3.29,0,77.39,0,1.14,85.83,2.64,1.67,16.24,77.85,0,10.66,1.25,0,0,26.02,0,17.16,4.02,0,0,120.34,0,0,4.78,0,0,128.61,0,0,31.38,0,0,0,2.82,1.56,0,25.67,0
