stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,22.1,352.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.85,298.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0
  7-9,0,5.51,10.08,0,0,20.35,0,0,0,9.71,0,0,0,0,0,0,45.92,4.99,0,0,29.11,0,3.47,0,0,0,0,0,0
 10-12,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,1.16,0,0,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,17.8,0,0,0,0,0,0,0,0,0,1.66,0,0
 36-46,0,0,0,9.36,0,0.68,0,2,0,0,0,0,0,0,0,0,29.95,0,0,0,0,1.97,0,0,2.85,0,2.88,0,0
 48-58,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,23.81,0,0,0,0,0,0,0,0,0,5.31,0,0
 60-70,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0.79,0,0,22.54,0,0,0.62,0,0,0,0,0,0,5.59,0,0
 72-82,0,0,0,0,1.89,20.46,0,3.67,0,0,0,0,0.62,7.18,0,0,33.37,0,0.7,0,0,1,0,0,0,0,6.31,0,0
 84-94,0,0,0,0,5.12,18.86,0.7,0,0,0,0,0,0,0,0.62,0,27.07,1.75,0,0,0,0,0,0,0,0.62,0.75,1.64,0
 96-106,0,0,0,0,11.25,29.03,0,1.38,0,0,0,0,0,4.76,0,0,16.45,0,0,0,0,0,0,0,0,0,0,0,0.72
108-118,0,0,0,2.09,1.06,22.7,0.43,8.09,0.41,0,0,3.2,0.67,0,0,0,66.65,0,0,0,0,0.45,0,0,2.02,1.87,5.05,3.59,1.79
120,0,0,0,7.24,29.16,8.94,19.12,7.14,0,0,1.85,0,0,13.58,0,6.24,183.24,3.44,0,4.75,0,4.28,0,0,0,0,11.15,12.41,0
