stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.31,171.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.29,0,3.48,0,0,0,4.58,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,87.12,0,0,0,33.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.61,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,66.17,0,0,0,23.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20.86,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,21.19,0,5.5,0,0,0,0,0,0,33.47,0,0,0,0,0
 24-34,0,0,27.01,0,1.32,0,0,2.55,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,318.48,0,17.49,8.89,0,0,1.45,0,1.02,187.2,0,0,1.13,0,0
 36-46,0,0,29.3,0,2.76,0,0,18.92,0.89,0,3.25,0,0,0,0,0,0,0,0,0,0,0,763.19,0,45.69,8.55,0,0,8.55,3.76,0,162.89,0,0,0,0,0
 48-58,0,0,36.47,0,13.19,2.03,0,95.9,0,0.97,3.71,0,0,0,0,0,0.4,0,5.02,0,0,3.25,1034.61,0,20.22,20.53,0,0,2.4,0,0,150.92,0,0,0,0,0
 60-70,0,0,31.85,0,16.69,0,0,512.32,0,0.9,3.08,2.48,0,0,0,0.93,0,0,5,0,0,1.32,1673.48,0,30.9,34.48,0,0,4.5,2.82,0,177.7,0,0,0,0,0
 72-82,0,0,48.09,0,7.02,1.78,0,1222.37,8.97,3.99,56.46,23.19,0,4.83,0,0,2.29,0,15.9,0,0.81,0.75,2314.99,0,24.72,53.91,0,0,1.15,0,0,219.07,13.35,0,5.35,0,8.51
 84-94,0,0,29.79,0,23.2,8.5,0,1098.72,0,0,42.72,35.73,0,4.24,1.03,0.58,1.92,0,20.79,0,4.36,3.22,2119.47,0,62.18,50.87,0,0,14.79,0,0,149.83,29.74,1.47,3.47,1.66,2.87
 96-106,0,0,57.39,0,21.27,16.14,0,1548.83,4.94,1.54,60.92,34.72,0,6.77,0,0,9.28,49.68,20.18,0.97,1.97,2.42,2140.74,0,72.22,32.05,0,1.96,2.85,0,0,60.02,24.14,0,0,0,10.4
108-118,0,0,48.38,0,21.52,7.33,1.13,1104.88,3.18,0,48.98,14.65,0,1.92,0,2.72,2.47,6.58,9.17,0,4.77,5.01,2573.59,0.78,68.41,17.89,0,0,11.41,0,0,91.33,32.98,0,1.85,0,9.59
120,0,0,60.86,0,22.57,2.39,0,1018.05,2.44,12.74,107.6,42.92,0,11.06,0,6.89,15.23,0,42.97,2.91,0,3.91,5691.81,6.26,76.2,47.94,0,0,1.78,9.54,0,142.43,28.64,0,2.5,6.61,0
