stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,179.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0
  5-6,11.03,57.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,32.62,4.17,0,12.62,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,22.6,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0,0,0,0,68.95,68.62,0,23.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.8,52.14,5.06,0,3.68,0,0,0,2.66,1.29,0,0.92,0,0,0,0,21.54,0,16.48,28.43,22.85,0.88,2.77,0,1.1,10.06,1.76,0.87,7.25,31.03,0,5.19,0
 24-34,0,0,0.6,18.99,0,0,3.34,0,2.52,1.7,8.03,0,0,9.61,0,0,0.66,6.53,40.58,0,33.3,39.17,11.66,0,0,2.61,0,0,0.7,0,7.07,18.84,0,7.55,0
 36-46,0,0,0,5.08,0,0,1.33,0,5.11,3.51,17.11,0,0,0,0,0,0,0,58.43,0,16.67,27.71,14.68,5.52,0,1.44,0,0,0,0,0,7.32,0,3.51,0
 48-58,0,0,0,15.42,0,0,3.38,0,2.22,5.77,15.55,0,0,0,0,7.18,1.18,0,80.87,0,4.86,15.7,3.75,1.7,0,1.8,0,0,0,0,0,12.61,0,0,0
 60-70,0,0,0,11,0,0,2.93,1.01,10.9,15.68,15.17,0,0,0,0,0,0,4.39,122.61,2.44,4.5,9.91,12.43,1.03,0,0.67,0,0,0,0,0,2.49,1.31,1.64,0
 72-82,0,0,0,0,0,0,4.16,0,0,5.15,11.74,0,0,0,0,0,1.79,0,113.87,5.86,10.82,1.63,0.56,0.82,0,1.06,0,0,1,0,0,1.48,0,3.45,2.21
 84-94,0,0,0,8.94,0,0,17.2,0,1.34,0.8,18.54,1.53,0,1.57,0,0,2.78,0.59,129.65,5.59,5.06,9.22,6.12,1.64,0,0.75,0,0,0,0,0,13.76,2.12,2.13,4.05
 96-106,0,0,0,4.44,0,0,2.63,0,0,0,6.66,1.81,0,0,0,0,1.83,0,55.93,0.7,0.96,6.75,0.91,0,0,0,0,0,0,0,0,0,2.19,1.24,1.36
108-118,0,0,0,3.43,0,3.65,6.69,0,3.47,6.75,11.64,0,0,0,0.47,0,2.27,0,58.29,3.54,1.24,5.68,5.12,3.82,0,0.52,0,0,0,0,0,4.11,3.33,10.43,3.47
120,0,0,0,13.69,0,0,0,0,0,1.44,31.18,0,0,0,1.45,5.74,0,0,40.08,0,0,1.52,0,0,0,0,0,0,0,0,0,15.31,0,0,6.92
