stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,notochord,somites,spinal.cord,vasculature
  3-4,24.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.83,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6.46,0,0.84,0,0
 24-34,0,0,0,0,0,0,0,0,0.87,0.65,229.27,0.65,0,3.55,1.63
 36-46,0,0,1.19,0,0,0,0,0,1.55,0.69,918.46,0,0,6.66,0
 48-58,0,0,23.62,0.5,7.48,0,1.05,0,2.13,0.65,1246.45,0,0,15.87,0
 60-70,0,0,3.79,0,0,0,0,0,1.84,0,297.57,0,0,0,0
 72-82,0,0,11.19,0,2.82,0,0,0,1.07,0,148.81,0,0,0,0.65
 84-94,0,1.94,20.38,0,3.09,0,0,0,2.78,0,181.45,0,0,0,0
 96-106,0,0,21.41,0,0.6,0.78,0,0,0,0,82.8,0,0,3.37,0
108-118,0,0,6.39,0,0,0,0,0,1.96,0,181.08,0,0,1.08,0
120,0,1.66,13.22,0,1.51,0,0,1.45,0,0,122.33,0,0,0,0
