stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.26,440.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
  5-6,42.1,652.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.02,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,14.5,13.86,25.16,0,0,0,17.27,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,226.01,7.34,0,0,167.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.92,13.34,0,0,0,4.63,0,0,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,258.54,0,0,0,149.45,0,0,4.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,17.75,4.78,0,2.92,0,0,0,2.05,0,0,0,0,0,0,0,0,0,17.31,0,0,8.53,129.36,1.01,0.83,3.29,4.33,0,0,11.07,0,1.17,7.19,38.39,0,0,1.09,0,0
 24-34,0,0,0.67,11.4,0.87,0,8.74,0,2.97,0.69,4.86,0,0,4.52,0,0,0.6,1.27,0,3.07,71.54,0,0,20.22,205.85,5.95,1.49,0.62,0,0,2.5,2.17,0,0,1.58,69.05,0,0,15.8,0,2.61
 36-46,0,0,0,13.91,0,0,34.38,0,3.94,0,10.36,0.68,0,1.06,0,0,1.97,0,0,0.86,87.86,0,0,9.26,300.97,0.6,2.33,1.76,0,0,0,0,0,0,0,92.43,0,0,20.35,0,0
 48-58,1.15,0,0,27.65,0,0,64.56,0,11.34,3.32,17.03,1.26,0,0,0,0,3.78,0.37,0,0,94.77,0.83,6.63,11.57,210.75,0,0.48,1.02,0,0,0.56,0,0,0,0,57.88,0,0,11.4,0,23.19
 60-70,0,0,0,24.84,1.34,0,274.62,0,8.89,11.33,59.22,2.09,0,0,8.93,0,20.33,5,5.41,0,153.73,5.57,0,8.21,317.42,6.22,0,0,0,0,8.26,0,0,0,0,66.71,0,1.31,8.04,0,12.93
 72-82,0,0,0,14.87,0,0,234.6,0,7.47,13.89,87.59,9.14,0,0.86,0.67,0.52,2.73,3.49,0,1.32,155.48,1.22,0,9.95,240.72,0,3.15,1.38,0,1.77,2.76,0,0,0,0,62.8,0,0,19.57,0,6.09
 84-94,0,0,0,44.58,3.88,0,136.98,0,15.31,5.68,78.15,37.01,0,9.9,4.03,0,3.83,3.97,1.15,0,196.65,3.28,0,4.43,120.48,0,2.22,0,0,2.26,2.18,0,1.18,0,0,45.38,0,0,12.94,0,10.88
 96-106,0,0,0,27.4,8.6,1.05,73.86,1.41,10.33,11.21,100.15,26.43,0,2.49,10.01,1.44,9.84,3.25,0,0,179.46,7.43,3.39,2.4,145.75,0,3.78,5.6,0,5.34,9.91,0,0.7,0,0,12.73,0,0.93,28.47,0,14.67
108-118,0,0,0,39.74,3.56,0,63.37,1.12,24.23,14.13,90.28,39.77,0,0,5.2,0,40.01,5.67,1.31,16.02,242.84,18.16,1.05,6.34,170.5,0,4.57,3.09,0,6.42,7.09,0,0,0,0,11.81,3.18,0,23.12,1.63,66.92
120,0,0,0,66.05,0,0,76.7,0,8.8,24.81,164.83,25.56,0,0,17.87,0,10.49,18.97,0,0,198.54,1.59,0,0,193.59,1.18,1.77,1.5,0,0,2.66,0,0,0,0,0,0,5.29,10.74,0,36.97
