stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,3.39,0,0,11.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,1.1,0,2.02,0,0,0,0,2.12,0.89,0,0.93,0,0,0,0
 24-34,0,0,0.62,0,0.77,0,0,0,0,0,0,0,0,0,0,0.86,0,0,1.43,0.88,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
 36-46,0,0,2.78,0,0,0,0,0,5.87,0,0,0,0,0,0,4.96,0,0,3.73,6.41,0,1.22,0,0,0,0,0,3.76,0,0,2.93,0,0,0
 48-58,0,0,0.44,0,3.86,0,1.02,0.55,2.78,0,0.44,0,0,0,0,4.39,0,0,1.07,16.92,0,0.73,0,0,0,0.56,0,0,0,0,4.17,0,0,0
 60-70,0,0,5.37,0,3.61,0,0,0,9.91,0,0,0,0,0,0,4.64,0,0,0.72,15.32,0,1.19,2,0,0,1.91,0,0,0,0,1.42,0,0,0
 72-82,0,0,0,0,17.95,0.49,0.57,0,14.45,0,0,0.65,0,0,0,19.75,0,0,1.13,16.37,0,0,4.42,0,0.87,0,0,0,0,0,0,0.75,0,0
 84-94,0,1.04,1.27,0,14.86,0,0,0,12.59,0.62,0,0,0,0,0.95,25.8,0,0,0,12.14,0,0,0,0,0,2.65,0,0,0.59,0,0.65,0,0,0
 96-106,0,5.6,0.62,3.62,8.66,1.06,0.91,0.72,27.06,1.54,0,2.23,0,0,0,24.16,0,0,0,17.6,0,0.6,1.35,0,0,0.81,0,0,0,0,1.73,1.03,0,6.78
108-118,0,0,2.78,0,11.82,0.7,0.83,0,11.4,1.49,0,3.14,2.11,0,0,10.34,0,0,1.38,20.41,0,0,1.86,0,0,2.79,0,0,0,0,0,0,2.41,0
120,0,0,1.23,0,9.18,26.42,1.93,0,37.67,0,0,0,0,1.58,0,12.86,1.47,1.83,1.82,3.54,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0
