stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.83,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,630.63,0,0,0,0,0,0,0,0,0,0,5.24,56.18,0,0,0,0,0,7.53,0,0,4.1,0,0,0,0,75.36,4.53,1.27,0,3.22,0,0,0,0,0
 24-34,0,0,555.35,0,0,12.16,0,37.11,0,2.54,0,3.63,0,58.06,32.61,0,0,0,0,7.28,23.22,0,2.24,106.35,0,0,2.45,0,1116.69,0,1.59,2.19,16.34,0,0,1.51,0,0
 36-46,0,0,584.5,0.76,0,18.68,0.63,131.45,1.45,3.09,0,0,0,76.66,12.64,0,0.74,0,1.09,17.3,57.72,0,0,252.24,0,1.37,0,0,5458.49,0,0,0,36.81,0,0,0,0,0
 48-58,0,0,922.71,0,0,139.76,1.04,303.84,0.43,35.32,6.56,2.93,0,77.95,36.85,0,1.08,4.49,0.59,63.52,92.83,0,4.29,430.2,1.83,3.96,0.38,0,9045.34,0,0,0.4,73.04,0,0,7.71,0,40.32
 60-70,0,0,1023.09,0,0,129.62,1.01,226.17,1.61,11.71,0.77,5.14,0,56.96,48.97,5.65,1.2,0,0,25.37,58.49,1.96,4.1,206.03,8,0,0,0,7527.89,0,1.14,0,34.72,3.36,0,3.59,1.46,10.35
 72-82,0,0.87,1391.33,2.02,0,137.73,1.55,216.25,2.07,14.96,19.11,0,0,134.04,73.79,0,3.09,2.43,0,38.24,46.05,8.78,4.28,201.86,0,7.75,1.74,1.12,4322.06,0,2.8,0.53,7.28,32.34,0.52,8.46,4.95,8.9
 84-94,0,1.44,3398.57,19.67,1.09,73.33,1.54,622.82,0,18.74,78.77,0,0,154,240.34,3.14,1.83,0,10.43,26.8,167.09,0,8.03,153.37,1.84,7.54,2.01,0,13230.04,0,1.79,0,6.9,138.18,0,1.47,3.24,3.32
 96-106,0,1.6,3483.15,57.05,3.86,200.47,1.46,623.05,5.16,32.09,159.58,0,2.51,128.54,212.49,2.25,7.17,8.52,0,72.6,166.12,1.31,5.81,344.21,1.44,23.53,1.82,0,10301.65,0,0.69,0.92,7.11,109.65,4.91,32.18,4.07,21.11
108-118,0.67,0,3439.56,14.58,1.11,123.41,1.82,852.21,1.32,21.97,194.69,0,8.2,99.42,238.58,0,6.85,0.57,2.2,76.89,125.94,4.79,2.39,212.21,0,12.1,4.52,3.71,7902.1,0,1.87,0,0.42,128.28,2.1,3.94,4.22,0
120,0,0,1881.11,1.46,0,52.69,0,369.67,0,7.46,37.44,0,0,117.01,99.77,0,5.62,0,0,41.82,93.42,0,2.95,278.24,6.26,6.46,0,0,3638.7,0,0,0,0,30.74,2.41,8.94,0,0
