stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,62.46,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,23.54,0,4.22,0,0,0,0,0,8.63,0,0,0,0,0,0,0,0,0,0,0,13.02,114.32,0,0,29.04,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,103.41,42.31,0,0,0,25.64,0,0,0,0,20.55,0,0,0,0,0,0,927.29,0,0,484.28,126.84,472.32,0,0,0,0,0,21.2,1.59,0,3.82,14.96,0,0,1.41,0,0
 24-34,0,0,2.67,148.93,15.84,0,2.92,0,239.66,5.42,3.46,0,6.16,130.5,0,0.61,0,0,24.74,0,2052.7,0.77,8.45,424.36,176.45,192.56,0,1.56,0,0,11.67,0,0,3.1,5.69,27.61,0,0,0.78,0,0
 36-46,0,0,0,70.66,1.22,0,9.4,0,217,48.11,7.83,0,0,183.69,0,3.14,6.03,0,16.52,0,2468.45,0.58,113.52,324.02,233.3,55.57,9.54,0,0,8.21,2.18,0,0,0,0,14.88,0,3.57,3.97,0,9.97
 48-58,0,0,0.43,29.01,0.45,0,55.34,0,217.18,113.34,3.75,0,0,79.86,0,0.78,1.77,0,9.84,0,2722.16,0.73,64.51,338.68,196.49,35.39,0,0.83,0,7.62,1.35,0,0,0.37,0,16.88,0,11.36,0.94,3.8,3.39
 60-70,0,0,0,30.07,0,0,52.59,0,184.23,178.01,19.59,0,0,45.15,0,2.66,13.39,0,12.62,0,3551.34,0,49.78,296.97,117.95,9.6,0,4.76,0,45.85,11.51,0,0,0,0,9.62,0,46.6,0.68,14.31,0
 72-82,0,0,0,9.69,0,0,108.18,0.98,70.99,243.89,10.67,0.53,0,52.84,6.39,8.32,15.6,0,1.36,0,3497.64,0,112.69,263.46,119.03,3.24,0,2.07,0,36.67,5.24,0,5.14,0,0,2.7,1.17,71.61,1.91,54.54,0
 84-94,0,0,0,29.8,0,0,181.21,0,200.5,194.65,20.15,2.47,0,62.18,2.36,23.4,20.29,3.82,0,1.25,2849.58,0.57,141.25,199.25,68.37,15.13,1.05,0,0,28.54,4.86,0,0.93,1.43,0,0,0,54.24,0,88.98,0
 96-106,0,0,1.07,33.19,11.23,0,103.76,0,194.91,223.44,15.55,7.37,0,53.75,2.85,26.51,34.03,1.11,7.45,0,2973.07,1.24,181.54,156.21,227.37,6.1,2.96,4.96,0,115.35,14.24,0,5.83,0,0,2.52,1.64,92.37,2.85,166.84,5.48
108-118,0,0,0,44.65,5.07,5.29,48.18,0.58,176.37,202.18,7.65,1.35,0,45.93,3.02,36.95,37.95,0.57,0,0,3049.57,0.77,159.01,127.36,152.82,1.4,0,3.46,0,78.56,1.47,0,0,0.46,0,3.7,4.5,70.66,0.82,84.84,2.31
120,1.19,0,0,102.4,0,0,72.06,0,159.16,142.26,18.64,6.68,5.2,50.55,2.29,12.26,33.43,2.64,0,0,2478.35,0,214.05,141.46,139.24,5.25,0,6.21,0,180.95,14.63,0,0,0,0,10.59,0,162.29,1.35,282.51,0
