stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.98,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.47,100.96,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.41,0,5.32,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.08,481.83,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,368.12,2.92,2.93,0,0,0,74.65,0,1.14,0,0,0,0,0,0,0,118.03,0,0,217.77,30.71,696.74,0,0,0,0,9.48,9.24,0,0,102.9,255.24,0,0,0,0,0
 24-34,0,0,964.71,0,3.35,0,5.76,5.47,44.22,0,0,1.37,0,0,0,5.9,0,9.04,403.66,5.32,0,430.06,99.63,536.43,0.99,19.26,0,0,5.03,0.97,0,3.99,26.21,121.18,0,0,8.55,0,0
 36-46,0,0,628.1,0,7.26,0.78,14.05,12.06,26.67,0,0,4.76,0,8.19,0,7.28,0,2.54,549.23,5.39,2,221.44,83.07,627.93,4.53,18.35,0,0,1.21,9.19,0,4.77,0,31.75,0,0,0.9,0,15.44
 48-58,1.35,0,396.93,0,10.62,6.79,17.49,15.44,20.48,0,0,0,0,0,0,4.4,0.48,0.39,942.85,7.07,1.4,109.66,125.2,364.43,1.1,45.18,0,1.65,0,0,0.37,3.03,0,50.16,0,0,1.09,0.5,14.31
 60-70,0,0,341.93,0.7,19.52,0,36.17,4.9,17.91,0,0,0,0,0,0,1.93,0,0,1514.81,10.05,4.92,114.45,141.4,181.37,0.71,59.19,0,5.89,0.65,0,0,0,0,39.33,0,3.89,0,1.98,5.4
 72-82,0,0,231.25,6.86,46.74,0,8.19,6.2,36.5,1.1,0,0,0,0,5.83,1.76,0,0,1743.48,4.67,26.94,73.52,91.02,127.26,2.51,62.38,0,2.71,2.93,0,0.55,0,0,8.25,0,8.34,5.67,12.77,6.89
 84-94,0.62,0,474.59,0,95.47,0,47.22,6.33,40.76,3.62,0,2.88,0,2.91,3.34,0,0,6.93,1527.93,3.15,24.01,89.38,108.41,182.97,5.59,65.43,0,4.92,4.91,0,0.67,0,0,14.78,0.85,12.19,0.57,9.55,11.37
 96-106,0,0,465.74,1.14,29.6,0.61,25.39,5.46,8.87,2.47,0,5.81,0.65,0.85,2.62,1.74,0,0,1166.82,3.83,14.19,61.76,102.85,115.42,6.92,82.28,0,11.49,3.59,0,0,0,0,21.43,0,2.09,3.48,10.87,1.35
108-118,0,0,622.06,0,49.29,0,51.69,11.18,21.43,1.68,0,0,0,0,1.9,0.55,0,0,1036.43,2,22.31,41.07,98.98,103.92,7.41,67.98,0,0.86,2.49,0,0.84,0,0,8.01,0,5.84,1.56,24.04,2.03
120,0,0,625.96,0,41.97,0,63.73,3.99,0,0,0,1.61,0,3.6,11.32,0,0,0,1165.9,3.67,32.47,23.81,207.76,237.15,5.45,49.43,0,9.21,0,0,1.21,0,0,0,0,2.97,8.35,3.95,3.6
