stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,105.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,284.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.83,0,0,0,17.86,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.68,7.35,0,0,22.68,0,0,0,0
 14-21,0,1.02,0.86,3.57,0,2.36,0,0,0,0,0,0,5.73,0,0,26.32,0,3.47,1.05,0,0,8.24,0,0
 24-34,0,0.65,0,4.39,0,1.12,0.68,0,0,0,0.96,0,6.44,0,0,65.96,0,1.45,2.01,0,3.49,12.21,0,0.73
 36-46,0,0.94,0,15.07,0,1.4,0,0.63,0,0,0,0,2.22,0,0.93,99.29,0,1.16,0,0,2.77,17.13,0,0
 48-58,0,0,0,13.68,0,10.8,0,0,0,0,0,0.4,2.01,0,1.97,74.24,0,2.08,0,0,0,4.2,0,0.65
 60-70,0,0,0,33.75,0,1.19,0,0,0,0,0,0,5.45,0,0,83.42,0,0.89,0,0,0,6.41,0,0
 72-82,0,0,0,22.25,0.59,1.67,0,0,0,0,0,0,2.04,1.21,0,36.29,0,0,0,0,0,0,0.51,0
 84-94,0,0,0,19.46,0,0,0,0,0.58,0,0,0,4.24,0,0.7,24.75,0,0,0,0,0,5.23,0,0
 96-106,0,0.67,1.77,16.11,0,1.59,0.67,0,6.31,0,0,0.69,5.07,0,1.39,13.33,0,0,1.52,0,0.85,0,0,0
108-118,0,1.18,1.42,20.74,0,6.37,0,0,3.71,0,0,0,3.35,0,0,48.64,0,0,0.6,0,0,4.09,0,0
120,0,0,0,13.25,0,0,0,0,0,1.07,0,0,2.45,0,10.02,56.97,0,0,0,0,0,0,0,0
