stage,epidermis,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,periderm
  7-9,0,0,0,0,0,0,0,3.23,0
 24-34,0,0,0,0,0,0,0,0,5
 36-46,0,0,0,0,0,0,0,0,3.75
 48-58,0,0.37,0,0,0,0,0,0,0
 60-70,0.77,0,0,0,0,0,0,0,5.02
 72-82,3.52,0,0,0,0,0,0,0.88,20.69
 84-94,7.98,0.86,0,0,0.6,1.87,0,0,45.68
 96-106,7.07,0.59,0,1.13,0.63,0,1.52,1.99,159.35
108-118,7.53,0.6,0.86,0,0.75,8.28,1.27,9.59,73.68
120,5.1,5.5,0,0,0,1.26,0,0,72.13
