stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,periderm,spinal.cord,taste,vasculature
  3-4,24.78,0,0,0,0,0,0,0,0,0,0
  5-6,6.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.73,0,3.53,0,0
 24-34,0,0,0,0,0,0,1.24,0,0,0,0
 36-46,0,0,1.81,0,0,0,9.57,1.83,0,0,0.96
 48-58,0,0,1.47,0,0,0,0.52,0,0,0,0
 60-70,0,0,13.53,0,0,0,1.96,0,0,0,1.4
 72-82,0,0,29.97,0,2.06,0,3.74,0,0,0.56,0
 84-94,0,0,13.56,3.42,2.46,0,7.42,0,0,0,0
 96-106,0,0,29.67,0,5.79,0.86,1.85,0,0,1.9,0
108-118,0,1.08,13.77,2.79,17.24,0,0,0,0,5.08,0
120,0,0,1.29,0,6.09,0,0,0,0,0,0
