stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,9.38,0,0,0,0,0,0,0,0,0,0
  5-6,6.38,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.81,0,0
 10-12,0,0,0,0,0,0,0,44.71,10.25,0,0
 14-21,0,0.92,0,0.86,0,0,2.58,10.16,1.07,2.43,5.73
 24-34,0,0,0.69,0,0,0,0.8,1.92,0,0.71,8.21
 36-46,0,0,0,3.21,0,0,0,0.71,0,0,0.63
 48-58,0,2.8,0,1.4,1.86,0,0,0.49,0,0,0.48
 60-70,0,0,0,1.32,0,0,0,7.59,0,0,1.01
 72-82,0,0.73,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.8,0,2.25,0,0,0,0,0
 96-106,0,0,0,1.88,0,0,0,2.88,0,0,0
108-118,0,0,0,0,0,0,0,11.74,0,0,0
120,0,0,0,0,0,0,4.65,0,0,0,0
