stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,9.89,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.93,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,0,215.23,83.53,0,0,32.22,0,0,0,0,0,0,0,0,0
 10-12,0,7.02,0,9.77,0,0,32.94,0,0,0,10.42,0,0,0,0,0,0,0,248.23,3.27,0,0,18.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.06,0,0.81,0,15.61,0,0,0,0,0,0,0,3.51,0,17.56,0,0,5.57,0,3.42,0.92,26.45,33.94,10.89,42.9,0,0,0
 24-34,0,0,0,0,0,0,2.88,0,8.53,0,0,0,0,0,0,0,1.25,0,34.26,0.75,15.35,3.13,0,2.79,0,6.55,0,0,43.65,0,0,0
 36-46,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,107.01,0,13.22,7.4,0,0,0,3.43,0,0,31.51,0,0,0
 48-58,0,0,0.42,0,0,0,3.1,0,11.43,0,0,0,0,0,0.95,0,2.25,0,164.28,0,18.34,0.38,0,0,0,1.56,0,0,19.83,0,0,0
 60-70,0,0,0,0,0,0,6.04,0,7.74,0,0,0,0,0,2.33,0,1.98,0,232.91,0,16.77,7.89,0,0,0,0,1.33,0,32.03,0,0,0
 72-82,0,0,2.29,0,0.53,0,43.86,0,15.13,0,0,0,0,0.57,0.74,0,7.08,0,235.46,0,20.16,1.97,0,1.7,0,1.43,0,0,17.76,0.56,0,0
 84-94,0,0,0.6,0,0,0,18.95,0,0.73,0,0,0,1.04,0,1.17,0,5.59,0,153.98,0,14.97,11.21,0,0,0,2.68,0,0,14.55,0,0.55,1.52
 96-106,0,0,0.63,0,0.85,5.9,33.14,2.81,2.81,1.11,0,0,0,0,3.55,1.64,0,1.2,102.86,0,13.15,15.61,0,0,0,1.05,0,0,5.99,0,0,0
108-118,0,0,0,0,2.09,0,12.71,0,4.42,0,0,0,0,0,3.75,0.97,7.36,0,181.25,0,9.69,6.39,0,0,0,0.43,0,0,8.66,0,0,0
120,0,0,0,0,24.95,0,35.83,0,8.1,0,0,8.65,2.21,0,1.54,0,0,0,213.91,0,6.45,5.99,0,0,0,1.87,0,0,0,2.82,0,0
